sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags
T3000186,2022Q3,HOOD,2022-07-29,$500M-$1B,weak,-4,-1,-1,-1,8/1/22,8.94,17.5615,1.1186,6.8233,12.9754,30.6488,0001783879-22-000160,q2_2022xrhsx606axdisclos.htm,earnings_exhibit,37246,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HOOD_000178387922000160_q2_2022xrhsx606axdisclos.htm.txt,13,
T3000402,2023Q2,OSW,2023-05-03,$100M-$500M,weak,-4,-1,-1,-1,5/4/23,12.45,-4.8996,-13.253,-12.0482,-2.9719,-4.6586,0000950170-23-016872,osw-ex99_1.htm,earnings_exhibit,22495,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/OSW_000095017023016872_osw-ex99_1.htm.txt,18,
T3000308,2023Q1,CXM,2023-03-29,$100M-$500M,weak,-1,-1,-1,-1,3/30/23,12.88,0.6988,-1.0093,-7.1429,2.8727,8.4627,0001569345-23-000014,q4fy23-earningsrelease.htm,earnings_exhibit,23630,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CXM_000156934523000014_q4fy23-earningsrelease.htm.txt,18,
T3000620,2024Q1,CXM,2024-03-27,$100M-$500M,weak,-1,-1,1,0,2024-03-28,14.315000,-15.6130,-20.6427,-15.9623,-16.5910,-35.4523,0001569345-24-000015,q4fy24-earningsrelease.htm,earnings_exhibit,23309,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CXM_000156934524000015_q4fy24-earningsrelease.htm.txt,18,
T3000164,2022Q3,CCL,2022-09-30,$500M-$1B,weak,-4,-1,-1,-1,10/3/22,7.17,-0.9763,14.6444,21.1994,39.47,11.1576,0000815097-22-000071,a20223qbusinessupdate8-k.htm,earnings_exhibit,37557,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CCL_000081509722000071_a20223qbusinessupdate8-k.htm.txt,18,
T3000377,2023Q2,EEX,2023-05-03,$100M-$500M,weak,-4,-1,-1,-1,5/4/23,3.5,-0.8571,-4.2857,9.1429,16,31.1429,0000950170-23-016852,eex-ex99_1.htm,earnings_exhibit,24176,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EEX_000095017023016852_eex-ex99_1.htm.txt,18,
T3000619,2024Q1,CTOS,2024-03-07,$1B-$2B,weak,-1,-1,2,-1,2024-03-08,5.860000,-8.3618,-0.6826,0.0000,-30.8874,-18.6007,0001709682-24-000009,ex991q4-2023pressrelease.htm,earnings_exhibit,40390,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CTOS_000170968224000009_ex991q4-2023pressrelease.htm.txt,18,
T3000182,2022Q3,HBAN,2022-07-21,$100M-$500M,weak,-1,2,-1,-1,7/22/22,13.39,-0.2987,5.9746,2.3898,3.8088,-1.419,0000049196-22-000085,hban20220630_8kex992.htm,earnings_exhibit,55646,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HBAN_000004919622000085_hban20220630_8kex992.htm.txt,18,
T3000721,2024Q2,LILAK,2024-05-07,$500M-$1B,mixed,0,-1,1,1,2024-05-08,7.990000,8.0100,7.8849,11.1389,14.7685,27.1590,0001712184-24-000154,ex991toform_llaq12024earni.htm,earnings_exhibit,63400,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LILAK_000171218424000154_ex991toform_llaq12024earni.htm.txt,18,
T3000967,2025Q1,VYGR,2025-03-11,<$100M,weak,-3,-1,-1,0,2025-03-12,3.800000,2.8947,-11.3158,-16.5789,-11.8421,-8.9474,0001558370-25-002702,vygr-20250311xex99d1.htm,earnings_exhibit,18192,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/VYGR_000155837025002702_vygr-20250311xex99d1.htm.txt,18,
T3001108,2025Q3,OFIX,2025-08-05,$100M-$500M,weak,-3,-1,-1,0,2025-08-06,12.250000,18.4490,18.4490,18.7755,15.6735,21.3878,0000950170-25-102383,ofix-ex99_2.htm,earnings_exhibit,31176,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/OFIX_000095017025102383_ofix-ex99_2.htm.txt,18,
T3000790,2024Q3,CWK,2024-07-29,$2B-$10B,weak,-2,-1,-1,1,2024-07-30,13.030000,-3.5303,-0.8442,-1.2279,4.6048,4.2978,0001628369-24-000013,cwk-ex991q22024.htm,earnings_exhibit,51731,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CWK_000162836924000013_cwk-ex991q22024.htm.txt,18,
T3000795,2024Q3,ECVT,2024-08-01,$100M-$500M,mixed,0,-1,1,1,2024-08-02,7.630000,-13.3683,-12.3198,-10.2228,-11.7955,-12.7130,0001708035-24-000097,ex991-ecvt2q24earningsrele.htm,earnings_exhibit,40294,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ECVT_000170803524000097_ex991-ecvt2q24earningsrele.htm.txt,18,
T3001032,2025Q2,PD,2025-05-29,$100M-$500M,mixed,0,-1,1,1,2025-05-30,14.985000,7.2406,-7.1071,1.9686,9.5095,12.9129,0001568100-25-000048,ex991-pagerdutyq1fy26earni.htm,earnings_exhibit,33857,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PD_000156810025000048_ex991-pagerdutyq1fy26earni.htm.txt,18,
