metric,value
sample_rows,30
bucket_changed,12
score_big_change_abs_ge_3,8
risk_big_change_abs_ge_2,2
action_changed,15
mini_bucket_neutral,7
mini_bucket_inflecting,8
mini_bucket_constructive,12
mini_bucket_deteriorating,3
xhigh_bucket_neutral,12
xhigh_bucket_inflecting,6
xhigh_bucket_constructive,6
xhigh_bucket_deteriorating,6
mini_action_other,7
mini_action_high_priority,6
mini_action_candidate,14
mini_action_demote,3
xhigh_action_other,5
xhigh_action_high_priority,6
xhigh_action_candidate,6
xhigh_action_demote,13
