ticker,cik,doc_type,accession,document,current_text_len,html_path,text_path
ACH,75252,earnings_exhibit,0001193125-24-182567,tmb-20240802xex99d1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ACH_000119312524182567_tmb-20240802xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACH_000119312524182567_tmb-20240802xex99d1.htm.txt
ACH,75252,earnings_exhibit,0001193125-24-182567,tmb-20240802xex99d2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ACH_000119312524182567_tmb-20240802xex99d2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACH_000119312524182567_tmb-20240802xex99d2.htm.txt
ALGM,866291,earnings_exhibit,0000950103-24-010519,algm-ex99_1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ALGM_000095010324010519_algm-ex99_1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALGM_000095010324010519_algm-ex99_1.htm.txt
AMC,1411579,earnings_exhibit,0001104659-24-081453,tm2420072d1_ex99-1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AMC_000110465924081453_tm2420072d1_ex99-1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMC_000110465924081453_tm2420072d1_ex99-1.htm.txt
AMC,1411579,earnings_exhibit,0001104659-24-081453,amc-20240802xex99d1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AMC_000110465924081453_amc-20240802xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMC_000110465924081453_amc-20240802xex99d1.htm.txt
ANGO,1275187,earnings_exhibit,0001140361-24-033242,ef20032494_ex99-1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ANGO_000114036124033242_ef20032494_ex99-1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ANGO_000114036124033242_ef20032494_ex99-1.htm.txt
BNED,1634117,earnings_exhibit,0001634117-24-000046,exhibit99120240727q125earn.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/BNED_000163411724000046_exhibit99120240727q125earn.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BNED_000163411724000046_exhibit99120240727q125earn.htm.txt
BNED,1634117,earnings_exhibit,0001634117-24-000046,exhibit99220240727q125earn.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/BNED_000163411724000046_exhibit99220240727q125earn.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BNED_000163411724000046_exhibit99220240727q125earn.htm.txt
BNL,1424182,earnings_exhibit,0000950170-24-080477,bnl-ex99_2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/BNL_000095017024080477_bnl-ex99_2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BNL_000095017024080477_bnl-ex99_2.htm.txt
CF,1324404,earnings_exhibit,0001104659-24-086801,cf-08072024_ex991xearnings.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CF_000110465924086801_cf-08072024_ex991xearnings.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CF_000110465924086801_cf-08072024_ex991xearnings.htm.txt
