quarter,ticker,cik,repair_status,selected_event_date,selected_accession,primary_8k_doc,primary_8k_text_len,exhibit_docs,exhibit_text_len,exhibit_doc_count,fetch_notes
2024Q3,ABT,1800,ready,2024-07-18,0001628280-24-032182,abt-20240718.htm,4691,abt-2024q2xexhibitx991.htm,35424,1,matched_docs_by_accession
2024Q3,AIZ,1267238,ready,2024-08-06,0001267238-24-000035,aiz-20240630exx991pressrel.htm,33193,aiz-20240806.htm,3568,1,matched_docs_by_accession
2024Q3,ALNY,1178670,no_8k_item_202_in_quarter,,,,0,,0,0,
2024Q3,AMP,820027,ready,2024-07-24,0000820027-24-000065,amp-20240724.htm,2963,q22024er.htm,48696,1,matched_docs_by_accession
2024Q3,BF-B,14693,ready,2024-08-29,0000014693-24-000152,bfb-20240829.htm,4098,fy25_q1xerjuly.htm,38921,1,matched_docs_by_accession
2024Q3,CBRE,1138118,ready,2024-07-25,0001138118-24-000021,cbre-20240725.htm,3821,cbre-20240725x8kexx991.htm,46316,1,matched_docs_by_accession
2024Q3,CEG,0001868275,ready,2024-08-06,0001868275-24-000051,ceg-20240806.htm,7099,ceg-20240806991.htm;ceg-20240806992.htm,64565,2,matched_docs_by_accession
2024Q3,CPRT,900075,ready,2024-09-04,0000900075-24-000019,cprt-20240904.htm,4248,cprt07312024ex99-1.htm,10635,1,matched_docs_by_accession
2024Q3,DXCM,1093557,ready,2024-07-25,0001093557-24-000143,dxcm-20240725.htm,4607,dxcmq2202499-1_6302024.htm,25187,1,matched_docs_by_accession
2024Q3,EOG,821189,ready,2024-08-01,0000821189-24-000030,eog-20240801.htm,4114,exh99-1080124.htm,29639,1,matched_docs_by_accession
2024Q3,EQT,33213,ready,2024-07-23,0000033213-24-000030,eqt-20240723.htm,3503,ex9916302024earningsrelease.htm,35512,1,matched_docs_by_accession
2024Q3,FANG,1539838,ready,2024-08-05,0001539838-24-000147,diamondbackex991-8x5x24.htm,38871,diamondbackex992-8x5x24.htm,15885,1,matched_docs_by_accession
2024Q3,FCX,831259,ready,2024-07-02,0000831259-24-000026,fcx-20240702.htm,3597,fcx_240702.htm,4995,1,matched_docs_by_accession
2024Q3,GNRC,1474735,ready,2024-07-31,0001437749-24-023974,ex_705212.htm,32127,gnrc20240730_8k.htm,6846,1,matched_docs_by_accession
2024Q3,HOOD,1783879,ready,2024-07-31,0001783879-24-000222,a606_nmsx2024xq2xcrfn.htm,101852,a606_nmsx2024xq2xhood.htm;hood-20240731.htm,101912,2,matched_docs_by_accession
2024Q3,IBKR,1381197,ready,2024-07-16,0001381197-24-000110,ibkr-8k_20240630er.htm,20192,ibkr_8k-20240630.htm,3355,1,matched_docs_by_accession
2024Q3,INCY,879169,ready,2024-07-30,0000879169-24-000146,incy-20240730.htm,2896,incy-q22024xexx991.htm,43639,1,matched_docs_by_accession
2024Q3,INVH,1687229,ready,2024-07-24,0001687229-24-000044,invh-20240724.htm,3569,q22024supplemental.htm,94604,1,matched_docs_by_accession
2024Q3,JBHT,728535,ready,2024-07-16,0001437749-24-022814,ex_698520.htm,20688,jbht20240715_8k.htm,3286,1,matched_docs_by_accession
2024Q3,KMB,55785,ready,2024-07-23,0000055785-24-000081,kmbq220248kex-991.htm,29674,pre-20240723.htm,3585,1,matched_docs_by_accession
2024Q3,MKC,63754,no_8k_item_202_in_quarter,,,,0,,0,0,
2024Q3,MMM,66740,ready,2024-07-26,0000066740-24-000077,mmm-20240726.htm,3636,q22024-8kerexx991.htm,67803,1,matched_docs_by_accession
2024Q3,MPWR,1280452,ready,2024-08-01,0001437749-24-024285,ex_675796.htm,30119,ex_675797.htm;mpwr20240516_8k.htm,30916,2,matched_docs_by_accession
2024Q3,MS,895421,no_8k_item_202_in_quarter,,,,0,,0,0,
2024Q3,NCLH,1513761,ready,2024-07-31,0001171843-24-004274,exh_991.htm,48016,f8k_073124.htm,3483,1,matched_docs_by_accession
2024Q3,NOW,1373715,ready,2024-07-24,0001373715-24-000269,erq2fy24.htm,35197,ex101agreement.htm;now-20240724.htm,34489,2,matched_docs_by_accession
2024Q3,O,726728,ready,2024-08-05,0000726728-24-000114,o-20240805.htm,6587,o-991q22024.htm;realtyincomeq22024supple.htm,123474,2,matched_docs_by_accession
2024Q3,PAYX,723531,no_8k_item_202_in_quarter,,,,0,,0,0,
2024Q3,PNC,713676,ready,2024-07-16,0000713676-24-000058,pnc-20240716.htm,3293,q22024financialhighlightsa.htm;q22024financialsupplement.htm,109320,2,matched_docs_by_accession
2024Q3,POOL,945841,ready,2024-07-25,0000945841-24-000130,pool-20240725.htm,3420,pool-q22024xer.htm,21740,1,matched_docs_by_accession
2024Q3,REGN,872589,ready,2024-08-01,0001804220-24-000026,exhibit991q22024.htm,37050,regn-20240801.htm,3503,1,matched_docs_by_accession
2024Q3,SATS,1415404,no_8k_item_202_in_quarter,,,,0,,0,0,
2024Q3,SOLV,0001964738,ready,2024-08-08,0001964738-24-000017,q22024-8kerexx991.htm,31389,solv-20240808.htm,3083,1,matched_docs_by_accession
2024Q3,SRE,1032208,ready,2024-08-06,0001032208-24-000024,ex99_1q22024earningstables.htm,30553,ex99_2q22024earningstablef.htm;sempra-20240806.htm,8197,2,matched_docs_by_accession
2024Q3,TTD,1671933,ready,2024-08-08,0001671933-24-000089,ttd-20240808.htm,3445,ttd-20240808x8kexx991.htm,17894,1,matched_docs_by_accession
2024Q3,TXN,97476,not_ready_after_fetch,,,,0,,0,0,2024-07-23:0000097476-24-000029:primary_len=3460:ex_docs=0:ex_text_len=0
2024Q3,UNP,100885,ready,2024-07-25,0001437749-24-023420,ex_675061.htm,22056,unp20240515_8k.htm,3038,1,matched_docs_by_accession
2024Q3,VICI,1705696,not_ready_after_fetch,,,,0,,0,0,2024-07-31:0001705696-24-000098:primary_len=4906:ex_docs=0:ex_text_len=0
2024Q3,VRSK,1442145,ready,2024-07-31,0001437749-24-023984,ex_687125.htm,32184,vrsk20240612_8k.htm,2956,1,matched_docs_by_accession
2024Q3,WDAY,1327811,ready,2024-08-22,0001327811-24-000163,wday-07312024x991.htm,29424,wday-20240822.htm,4741,1,matched_docs_by_accession
2024Q3,WMB,107263,ready,2024-08-05,0000107263-24-000075,wmb-20240805.htm,3817,wmb_20240630xer.htm,51426,1,matched_docs_by_accession
2024Q3,WTW,1140536,ready,2024-07-25,0001171843-24-004118,exh_991.htm,48345,exh_992.htm;f8k_072524.htm,52438,2,matched_docs_by_accession
2024Q3,ZS,1713683,ready,2024-09-03,0001713683-24-000097,zs-07312024_991.htm,36167,zs-20240903.htm,3636,1,matched_docs_by_accession
