ticker,name,index_membership,indexes,present_in_combined_all_tiers,missing_from
ALNY,Alnylam Pharmaceuticals,QQQ,QQQ,False,pre_llm_current_universe
ARM,Arm Holdings,QQQ,QQQ,False,pre_llm_current_universe
ASML,ASML Holding,QQQ,QQQ,False,pre_llm_current_universe
CCEP,Coca-Cola Europacific Partners,QQQ,QQQ,False,pre_llm_current_universe
FER,Ferrovial,QQQ,QQQ,False,pre_llm_current_universe
INSM,Insmed Incorporated,QQQ,QQQ,False,pre_llm_current_universe
PDD,PDD Holdings,QQQ,QQQ,False,pre_llm_current_universe
SHOP,Shopify,QQQ,QQQ,False,pre_llm_current_universe
TRI,Thomson Reuters,QQQ,QQQ,False,pre_llm_current_universe
ABBV,AbbVie,SPY,SPY,False,pre_llm_current_universe
ACN,Accenture,SPY,SPY,False,pre_llm_current_universe
ADM,Archer Daniels Midland,SPY,SPY,False,pre_llm_current_universe
AIG,American International Group,SPY,SPY,False,pre_llm_current_universe
ALL,Allstate,SPY,SPY,False,pre_llm_current_universe
AMCR,Amcor,SPY,SPY,False,pre_llm_current_universe
APA,APA Corporation,SPY,SPY,False,pre_llm_current_universe
ARE,Alexandria Real Estate Equities,SPY,SPY,False,pre_llm_current_universe
AZO,AutoZone,SPY,SPY,False,pre_llm_current_universe
BA,Boeing,SPY,DOW;SPY,False,pre_llm_current_universe
BAC,Bank of America,SPY,SPY,False,pre_llm_current_universe
BG,Bunge Global,SPY,SPY,False,pre_llm_current_universe
BK,BNY Mellon,SPY,SPY,False,pre_llm_current_universe
BLK,BlackRock,SPY,SPY,False,pre_llm_current_universe
BMY,Bristol Myers Squibb,SPY,SPY,False,pre_llm_current_universe
BRK-B,Berkshire Hathaway,SPY,SPY,False,pre_llm_current_universe
C,Citigroup,SPY,SPY,False,pre_llm_current_universe
CAH,Cardinal Health,SPY,SPY,False,pre_llm_current_universe
CASY,Casey's,SPY,SPY,False,pre_llm_current_universe
CAT,Caterpillar Inc.,SPY,DOW;SPY,False,pre_llm_current_universe
CB,Chubb Limited,SPY,SPY,False,pre_llm_current_universe
CI,Cigna,SPY,SPY,False,pre_llm_current_universe
CNC,Centene Corporation,SPY,SPY,False,pre_llm_current_universe
COP,ConocoPhillips,SPY,SPY,False,pre_llm_current_universe
COR,Cencora,SPY,SPY,False,pre_llm_current_universe
CPT,Camden Property Trust,SPY,SPY,False,pre_llm_current_universe
CVS,CVS Health,SPY,SPY,False,pre_llm_current_universe
CVX,Chevron Corporation,SPY,DOW;SPY,False,pre_llm_current_universe
DAL,Delta Air Lines,SPY,SPY,False,pre_llm_current_universe
DE,Deere & Company,SPY,SPY,False,pre_llm_current_universe
DELL,Dell Technologies,SPY,SPY,False,pre_llm_current_universe
DHI,D. R. Horton,SPY,SPY,False,pre_llm_current_universe
DIS,Walt Disney Company (The),SPY,DOW;SPY,False,pre_llm_current_universe
DOW,Dow Inc.,SPY,SPY,False,pre_llm_current_universe
EL,Estée Lauder Companies (The),SPY,SPY,False,pre_llm_current_universe
ELV,Elevance Health,SPY,SPY,False,pre_llm_current_universe
F,Ford Motor Company,SPY,SPY,False,pre_llm_current_universe
FDX,FedEx,SPY,SPY,False,pre_llm_current_universe
FITB,Fifth Third Bancorp,SPY,SPY,False,pre_llm_current_universe
FOX,Fox Corporation (Class B),SPY,SPY,False,pre_llm_current_universe
FOXA,Fox Corporation (Class A),SPY,SPY,False,pre_llm_current_universe
GE,GE Aerospace,SPY,SPY,False,pre_llm_current_universe
GM,General Motors,SPY,SPY,False,pre_llm_current_universe
GS,Goldman Sachs,SPY,DOW;SPY,False,pre_llm_current_universe
HCA,HCA Healthcare,SPY,SPY,False,pre_llm_current_universe
HD,Home Depot (The),SPY,DOW;SPY,False,pre_llm_current_universe
HPE,Hewlett Packard Enterprise,SPY,SPY,False,pre_llm_current_universe
HPQ,HP Inc.,SPY,SPY,False,pre_llm_current_universe
HUM,Humana,SPY,SPY,False,pre_llm_current_universe
IBM,IBM,SPY,DOW;SPY,False,pre_llm_current_universe
JBL,Jabil,SPY,SPY,False,pre_llm_current_universe
JCI,Johnson Controls,SPY,SPY,False,pre_llm_current_universe
JNJ,Johnson & Johnson,SPY,DOW;SPY,False,pre_llm_current_universe
JPM,JPMorgan Chase,SPY,DOW;SPY,False,pre_llm_current_universe
KO,Coca-Cola Company (The),SPY,DOW;SPY,False,pre_llm_current_universe
KR,Kroger,SPY,SPY,False,pre_llm_current_universe
LEN,Lennar,SPY,SPY,False,pre_llm_current_universe
LMT,Lockheed Martin,SPY,SPY,False,pre_llm_current_universe
LOW,Lowe's,SPY,SPY,False,pre_llm_current_universe
LYB,LyondellBasell,SPY,SPY,False,pre_llm_current_universe
MCK,McKesson Corporation,SPY,SPY,False,pre_llm_current_universe
MDT,Medtronic,SPY,SPY,False,pre_llm_current_universe
MET,MetLife,SPY,SPY,False,pre_llm_current_universe
MKC,McCormick & Company,SPY,SPY,False,pre_llm_current_universe
MPC,Marathon Petroleum,SPY,SPY,False,pre_llm_current_universe
