quarter,ticker,event_date,event_accession,extraction_source,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,semantic_text_len,semantic_parse_status,table_count,json_path
2024Q3,A,2024-08-21,0001090872-24-000024,sec_parser_table_xbrl,6,6,6,6,5275,23681,23356,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/A/A_2024-08-21_000109087224000024.json
2024Q3,AAP,2024-08-22,0001158449-24-000192,sec_parser_table_xbrl,6,3,6,5,3605,20771,20443,sec_parser,11,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AAP/AAP_2024-08-22_000115844924000192.json
2024Q3,AAT,2024-07-30,0001500217-24-000043,sec_parser_table_xbrl,6,6,6,6,95247,30180,29830,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AAT/AAT_2024-07-30_000150021724000043.json
2024Q3,ABG,2024-08-02,0001144980-24-000127,sec_parser_table_xbrl,6,3,6,6,3494,32840,31628,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ABG/ABG_2024-08-02_000114498024000127.json
2024Q3,ABM,2024-09-06,0000950170-24-104226,sec_parser_table_xbrl,6,6,6,6,3339,32676,32637,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ABM/ABM_2024-09-06_000095017024104226.json
2024Q3,ABNB,2024-08-06,0001193125-24-194849,sec_parser_table_xbrl,6,6,6,6,3907,53078,53078,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ABNB/ABNB_2024-08-06_000119312524194849.json
2024Q3,ACA,2024-08-01,0001739445-24-000111,sec_parser_table_xbrl,6,6,6,6,13994,32627,32006,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACA/ACA_2024-08-01_000173944524000111.json
2024Q3,ACAD,2024-08-06,0000950170-24-091826,sec_parser_table_xbrl,6,6,6,6,3506,14545,14519,sec_parser,2,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACAD/ACAD_2024-08-06_000095017024091826.json
2024Q3,ACCO,2024-08-01,0000950170-24-089332,sec_parser_table_xbrl,6,6,6,6,3583,35219,35172,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACCO/ACCO_2024-08-01_000095017024089332.json
2024Q3,ACDC,2024-08-08,0001104659-24-086919,sec_parser_table_xbrl,6,6,6,6,4197,26520,26907,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACDC/ACDC_2024-08-08_000110465924086919.json
2024Q3,ACGL,2024-07-30,0000947484-24-000091,sec_parser_table_xbrl,6,3,6,6,4172,125521,120795,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACGL/ACGL_2024-07-30_000094748424000091.json
2024Q3,ACH,2024-07-23,0001193125-24-182567,sec_parser_table_xbrl,6,6,6,6,3460,13725,13720,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACH/ACH_2024-07-23_000119312524182567.json
2024Q3,ACIW,2024-08-01,0000935036-24-000032,sec_parser_table_xbrl,6,5,6,6,3790,10150,10508,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACIW/ACIW_2024-08-01_000093503624000032.json
2024Q3,ACLS,2024-07-09,0001104659-24-078460,sec_parser_table_xbrl,4,4,6,3,2982,7517,7620,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACLS/ACLS_2024-07-09_000110465924078460.json
2024Q3,ACT,2024-07-31,0001823529-24-000157,sec_parser_table_xbrl,6,2,6,6,4080,20743,20428,sec_parser,3,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACT/ACT_2024-07-31_000182352924000157.json
2024Q3,ACVA,2024-08-07,0001628280-24-035624,sec_parser_table_xbrl,6,6,6,6,3433,24952,24673,sec_parser,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ACVA/ACVA_2024-08-07_000162828024035624.json
2024Q3,ADBE,2024-09-12,0000796343-24-000200,sec_parser_table_xbrl,6,3,6,6,13362,17592,17332,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADBE/ADBE_2024-09-12_000079634324000200.json
2024Q3,ADEA,2024-08-06,0000950170-24-091759,sec_parser_table_xbrl,6,5,6,6,3250,22031,21980,sec_parser,10,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADEA/ADEA_2024-08-06_000095017024091759.json
2024Q3,ADI,2024-08-21,0000006281-24-000158,sec_parser_table_xbrl,6,6,6,6,4121,26284,25747,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADI/ADI_2024-08-21_000000628124000158.json
2024Q3,ADNT,2024-08-06,0001670541-24-000095,sec_parser_table_xbrl,6,2,6,6,3393,17406,16850,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADNT/ADNT_2024-08-06_000167054124000095.json
2024Q3,ADSK,2024-08-29,0000769397-24-000147,sec_parser_table_xbrl,6,6,6,6,15985,32166,31803,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADSK/ADSK_2024-08-29_000076939724000147.json
2024Q3,ADTN,2024-08-06,0000950170-24-091207,sec_parser_table_xbrl,6,6,6,6,3918,59292,59227,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADTN/ADTN_2024-08-06_000095017024091207.json
2024Q3,ADUS,2024-08-05,0001193125-24-193948,sec_parser_table_xbrl,6,0,6,4,3258,24842,24827,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADUS/ADUS_2024-08-05_000119312524193948.json
2024Q3,ADV,2024-08-07,0000950170-24-092266,sec_parser_table_xbrl,6,6,6,6,5105,68958,68894,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ADV/ADV_2024-08-07_000095017024092266.json
2024Q3,AEE,2024-08-01,0001002910-24-000098,sec_parser_table_xbrl,6,6,6,4,4478,34101,33655,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AEE/AEE_2024-08-01_000100291024000098.json
2024Q3,AEIS,2024-07-30,0001558370-24-010373,sec_parser_table_xbrl,6,6,6,6,3483,22949,21826,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AEIS/AEIS_2024-07-30_000155837024010373.json
2024Q3,AEO,2024-08-29,0000950170-24-101592,sec_parser_table_xbrl,6,6,6,6,4340,16909,16883,sec_parser,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AEO/AEO_2024-08-29_000095017024101592.json
2024Q3,AEP,2024-07-30,0000004904-24-000080,sec_parser_table_xbrl,6,6,6,6,3375,25050,24716,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AEP/AEP_2024-07-30_000000490424000080.json
2024Q3,AES,2024-08-01,0000874761-24-000056,sec_parser_table_xbrl,6,6,6,6,7538,43983,43255,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AES/AES_2024-08-01_000087476124000056.json
2024Q3,AESI,2024-08-05,0000950170-24-090850,sec_parser_table_xbrl,6,3,6,6,4300,27718,27670,sec_parser,10,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AESI/AESI_2024-08-05_000095017024090850.json
2024Q3,AFL,2024-07-31,0000004977-24-000138,sec_parser_table_xbrl,6,3,6,6,22088,53556,53038,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AFL/AFL_2024-07-31_000000497724000138.json
2024Q3,AFRM,2024-08-28,0001820953-24-000033,sec_parser_table_xbrl,6,6,6,6,3547,67546,68412,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AFRM/AFRM_2024-08-28_000182095324000033.json
