sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags,causal_change,proof_alignment,durability,operating_leverage_quality,negative_revision_risk,story_vs_numbers_gap_penalty,narrative_delta_score,narrative_delta_bucket,score_addition,detected_driver_category,detected_driver_name,evidence_positive,evidence_risk,confidence,blocking_issues,post_llm_fundamental_score,post_llm_fundamental_bucket,post_llm_score_delta,post_llm_candidate_flag,post_llm_high_priority_flag,post_llm_demote_flag,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket
SILC000001,2021Q4,SILC,2021-10-28,$100M-$500M,strong,7,2,2,0,2021-10-29,41.900002,14.8926,8.0191,3.4368,18.9499,2.6730,0001178913-21-003291,exhibit_99-1.htm,earnings_exhibit,14189,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891321003291_exhibit_99-1.htm.txt,18,,2,3,2,2,2,0,7,inflecting,3,demand_and_operating_leverage,SD-WAN and O-RAN demand with EPS leverage,Revenue rose 16%; GAAP EPS rose 31%; nine-month revenues reached $92.2M with EPS up 39% on 25% revenue growth; management cited growing SD-WAN and 4G/5G O-RAN demand.,"Management cited an increasing components crisis management challenge, though Q4 revenue guidance was maintained at $34M-$36M.",high,,10,strong,3,1,1,0,,,,,
SILC000002,2022Q1,SILC,2022-01-27,$100M-$500M,strong,7,2,2,0,2022-01-28,42.980000,2.0009,-1.2331,-2.1638,-6.8404,-17.2871,0001178913-22-000244,exhibit_99-1.htm,earnings_exhibit,16202,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891322000244_exhibit_99-1.htm.txt,18,,3,3,2,2,3,1,6,constructive,1,design_wins_and_backlog,large SD-WAN and Smart Edge design wins,2021 revenue grew 20%; non-GAAP operating margin grew 50%; non-GAAP EPS grew 31%; management cited design wins with 10x revenue potential and a Smart Edge win with $30M in orders and $50M annual future run-rate.,"Q1 2022 revenue guidance of $31M-$33M was described as much lower than demand-based expectations due to the global components crisis, limiting order fulfillment.",high,,8,strong,1,1,0,0,,,,,
SILC000003,2022Q2,SILC,2022-04-28,$100M-$500M,good,4,1,2,1,2022-04-29,35.259998,-5.6438,0.3403,4.2541,-4.7079,17.0448,0001178913-22-001658,exhibit_99-1.htm,earnings_exhibit,13573,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891322001658_exhibit_99-1.htm.txt,18,,2,2,2,0,3,1,2,neutral,0,backlog_and_supply_constraint,record backlog constrained by component shortages,Revenue rose 11%; backlog was described as highest in company history; management cited two major design wins expected at about $15M and $5M annual run-rate.,GAAP net income fell to $2.2M from $2.6M; component crisis was expected to continue at least through 2022 and constrain supply despite demand.,high,,4,good,0,0,0,0,,,,,
SILC000004,2022Q3,SILC,2022-07-28,$100M-$500M,good,4,1,2,1,2022-07-29,41.000000,1.7073,5.0488,-0.8537,-14.3415,-6.7073,0001178913-22-002820,exhibit_99-1.htm,earnings_exhibit,13929,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891322002820_exhibit_99-1.htm.txt,18,,3,3,2,2,2,0,8,inflecting,3,orders_and_operating_efficiency,SD-WAN Smart Platform orders and delivery execution,Revenue rose 13%; GAAP net income rose 122%; non-GAAP net income rose 61%; backlog was all-time record; one SD-WAN vendor placed $15M of 2022 orders and indicated annual orders above $25M for several years.,"Management said delivery remained impacted by the global components crisis, expected to continue into 2023.",high,,7,strong,3,1,1,0,,,,,
SILC000005,2022Q4,SILC,2022-10-31,$100M-$500M,good,4,1,2,1,2022-11-01,45.000000,-2.3556,-4.9778,2.5111,-5.3111,-8.0667,0001178913-22-003757,exhibit_99-1.htm,earnings_exhibit,14511,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891322003757_exhibit_99-1.htm.txt,18,,3,3,2,2,1,0,9,inflecting,3,broadening_demand_and_margin_leverage,"record pipeline, SASE order, and operating margin expansion",Revenue rose 19%; GAAP net income rose 129%; non-GAAP net income rose 91%; operating margin reached 18.4%; EPS exceeded $1 and rose 45% over Q2; management cited record pipeline and broader demand.,"Management said delivery was still impacted to some extent by the component crisis, though with signs of lessening.",high,,7,strong,3,1,1,0,,,,,
SILC000006,2023Q1,SILC,2023-01-30,$100M-$500M,good,4,1,2,1,2023-01-31,40.919998,-4.7410,-7.1359,-4.6676,-8.6755,-10.8016,0001178913-23-000320,exhibit_99-1.htm,earnings_exhibit,14409,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891323000320_exhibit_99-1.htm.txt,18,,3,3,2,2,3,1,6,constructive,1,edge_networking_growth,record backlog and Edge Networking transition,2022 revenue rose 17%; non-GAAP EPS rose 55%; GAAP net income rose 74%; Q4 revenue rose 24%; management cited highest-ever year-start backlog and multi-year Edge Platform growth.,"Management said 2023 visibility was limited by a challenging mixed-signal environment, global economic slowdown, and supply-chain loosening after shortages.",high,,5,good,1,1,0,0,,,,,
SILC000007,2023Q2,SILC,2023-04-27,$100M-$500M,good,5,1,1,1,2023-04-28,33.419998,4.3986,3.7403,6.4034,6.9420,15.6792,0001178913-23-001543,exhibit_1.htm,earnings_exhibit,36641,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891323001543_exhibit_1.htm.txt,18,,0,0,0,0,0,0,0,neutral,0,none,no earnings-release driver provided,No Item 2.02 earnings-release operating evidence was provided in the packet.,"Packet snippets describe annual meeting, proxy matters, auditor appointment, shareholder record dates, and equity grant terms rather than earnings results or guidance.",low,Input packet lacks earnings-release evidence snippets needed to score business narrative.,5,good,0,0,0,0,,,,,
SILC000008,2023Q3,SILC,2023-07-31,$100M-$500M,good,5,1,1,1,2023-08-01,28.000000,-4.7857,-7.4286,-4.2857,-7.6071,-46.4286,0001178913-23-002636,exhibit_99-1.htm,earnings_exhibit,15522,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891323002636_exhibit_99-1.htm.txt,18,,2,1,0,0,5,2,-4,deteriorating,-3,inventory_destocking_and_slow_ramps,customer inventory drawdown and slower design-win ramps,Six-month revenue rose to $75.3M from $66.2M; cash and marketable securities increased to $63M with no debt; management cited a $5M initial strategic Edge Networking order and new Edge AI opportunities.,"Management said major customers were drawing down inventory, revenue expectations for 2023 were impacted, first-half 2024 could be affected, recent design wins were ramping slower than expected, and Q3 revenue was guided to $30M-$31M versus Q2 revenue of $38.1M.",high,,2,mixed,-3,0,0,1,,,,,
SILC000009,2023Q4,SILC,2023-10-26,$100M-$500M,good,5,1,1,1,2023-10-27,15.330000,-1.1742,-2.8702,3.4573,21.7221,14.2205,0001178913-23-003397,exhibit_99-1.htm,earnings_exhibit,14628,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891323003397_exhibit_99-1.htm.txt,18,,2,3,1,0,4,2,0,neutral,-3,customer inventory digestion,Covid-era inventory drawdown and macro headwinds,"Pipeline, early-stage Design Wins, and long-term demand drivers remain intact; management expects double-digit growth in 2025.",Q4 revenue guided to $20-$21M; 2024 expected challenging; next several quarters challenging; Q3 sales fell to $30.1M from $39.2M and non-GAAP income fell to $2.1M from $6.9M.,high,,2,mixed,-3,0,0,1,Tier 0 - Broad right-tail scouting universe,,,,
SILC000010,2024Q1,SILC,2024-02-01,$100M-$500M,good,5,1,1,1,2024-02-02,16.980000,-6.4193,-9.5995,-8.6572,-10.3062,-4.7114,0001178913-24-000341,exhibit_99-1.htm,earnings_exhibit,16114,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891324000341_exhibit_99-1.htm.txt,18,,3,2,2,1,5,2,1,neutral,-3,strategic restructuring,5-year plan with core focus and expense reductions,"Plan includes core Server Adapter and Edge focus, workforce and expense reductions, non-core program discontinuation, buyback, and $140M working capital and marketable securities.",Q4 sales fell to $18.8M from $45.2M; GAAP net loss was $11.5M; non-GAAP net loss was $0.5M; 2023 GAAP net loss was $3.0M after write-offs.,high,,2,mixed,-3,0,0,1,Tier 0 - Broad right-tail scouting universe,,,,
SILC000011,2024Q2,SILC,2024-05-02,$100M-$500M,strong,6,1,1,1,2024-05-03,16.180000,6.9221,0.4326,-0.8035,-5.8096,-21.1372,0001178913-24-001549,exhibit_99-1.htm,earnings_exhibit,14954,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SILC_000117891324001549_exhibit_99-1.htm.txt,18,,3,2,1,1,4,2,1,neutral,-3,cost discipline and working capital,strategic plan progress with positive operating cash flow,Delivered $13M positive operating cash flow; expenses now support future growth drivers; new sales compensation improved Design Win pipeline; full-year revenue expected around $70M.,Q1 sales fell to $14.4M from $37.2M; GAAP net loss was $3.4M; non-GAAP net loss was $2.4M; Q2 revenue guided to $15-$17M.,high,,3,good,-3,0,0,1,Tier 0 - Broad right-tail scouting universe,,,,
