metric,bucket,value
post_llm_rows,,2302
post_llm_candidate_count,,1035
post_llm_high_priority_count,,390
post_llm_demote_count,,998
post_llm_sub_tier_count,Tier 2.1 - LLM-supported,1035
post_llm_sub_tier_count,Tier 2.2 - Causal re-rating,483
post_llm_sub_tier_count,Tier 2.3 - Best balanced LLM subset,424
post_llm_sub_tier_count,Tier 3.1 - Cleaner LLM-positive Tier 3,0
post_llm_sub_tier_count,Tier 3.2 - LLM inflection / high priority,0
post_llm_sub_tier_count,Tier 3.3 - Persistent re-rating setup,0
post_llm_sub_tier_count,Tier 3.4 - Persistent high-priority re-rating,0
post_llm_sub_tier_count,Tier 4.1 - LLM-supported aggressive,0
post_llm_sub_tier_count,Tier 4.2 - Causal re-rating candidate,0
post_llm_sub_tier_count,Tier 4.3 - Clean high-priority,0
post_llm_fundamental_bucket,good,583
post_llm_fundamental_bucket,mixed,542
post_llm_fundamental_bucket,strong,450
post_llm_fundamental_bucket,weak,727
