quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2021Q4,A,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-11-23,155.889999,-4.2081,0.2566,1.2252,-11.3991,-16.2935
2021Q4,AAP,$2B-$10B,1.0,1.0,2.0,0.0,0.0,4.0,good,,,,,,,2021-11-16,238.779999,-5.0465,-3.6686,0.1591,-0.3644,-6.0725
2021Q4,AAT,$100M-$500M,1.0,2.0,2.0,0.0,0.0,5.0,good,,,,,,,2021-10-27,39.209999,-0.2805,-1.5812,-8.1612,-6.3249,-9.4109
2021Q4,ABG,$2B-$10B,1.0,2.0,-1.0,0.0,2.0,4.0,good,,,,,,,2021-10-27,208.270004,-11.2594,-11.8692,-23.2775,-19.5804,-19.8876
2021Q4,ABM,$2B-$10B,-1.0,1.0,2.0,1.0,2.0,5.0,good,,,,,,,2021-12-16,40.419998,2.3751,5.7892,7.1747,3.5626,12.9886
2021Q4,ABNB,$1B-$2B,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,weak,,,,,,,2021-11-05,186.149994,11.3135,-6.6022,-2.8472,-8.246,-19.6508
2021Q4,ABT,>$10B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-10-21,123.510002,4.3964,3.4896,1.4169,9.2867,2.0565
2021Q4,ACA,$500M-$1B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,,,,,,2021-11-04,52.419998,6.2381,9.1759,5.8566,2.1557,-13.3537
2021Q4,ACAD,$100M-$500M,-1.0,-1.0,2.0,-1.0,0.0,-1.0,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-09,20.84,-8.1094,-9.5969,8.5413,8.9731,21.4491
2021Q4,ACCO,$500M-$1B,1.0,-1.0,-1.0,-1.0,0.0,-2.0,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2021-10-27,8.7,5.5172,2.2988,-2.2988,-6.5517,-5.0575
2021Q4,ACGL,$2B-$10B,2.0,2.0,-1.0,-1.0,0.0,2.0,mixed,,,,,,,2021-10-13,40.75,6.3558,5.9141,3.1166,6.3804,13.7914
2021Q4,ACH,$2B-$10B,-1.0,1.0,2.0,1.0,2.0,5.0,good,,,,,,,2021-11-04,45.400002,-4.4053,-9.3833,-10.1322,-2.1366,-8.5463
2021Q4,ACIW,$500M-$1B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-05,31.940001,8.6725,-5.0407,-0.8453,10.8954,3.6005
2021Q4,ACLS,$100M-$500M,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-11-04,58.900002,4.9406,9.8812,7.725,30.3395,7.9457
2021Q4,ACT,,,,,,,,not_scored,profitability_score;operating_cash_flow_score;fcf_proxy_score;financing_dependence_score;asset_efficiency_score,,,,,,2021-11-03,22.639999,0.7067,1.1042,-6.4929,-6.2279,-2.2085
2021Q4,ACVA,$100M-$500M,-1.0,2.0,1.0,-1.0,0.0,1.0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-11,19.5,12.5641,5.7436,0.4103,-7.8462,-40.3077
2021Q4,ADBE,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-12-17,566.090027,2.0474,-9.1805,-9.3183,-15.2962,-21.5037
2021Q4,ADEA,$100M-$500M,-1.0,2.0,2.0,1.0,0.0,4.0,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2021-11-09,8.185217,1.2202,-4.9867,5.4111,-1.5385,-12.4138
2021Q4,ADI,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-11-24,181.449997,-0.2149,-2.8493,-3.2957,-11.0278,-11.3365
2021Q4,ADNT,$2B-$10B,-1.0,-1.0,-1.0,0.0,1.0,-2.0,weak,,,,,,,2021-11-11,44.130001,6.8434,-1.7222,3.6483,9.1774,8.5429
2021Q4,ADSK,$1B-$2B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-24,262.880005,1.0195,0.1293,8.1482,-6.6684,-17.9664
2021Q4,ADTN,$100M-$500M,-1.0,1.0,2.0,1.0,0.0,3.0,good,,Tier 0 - Broad right-tail scouting universe,,,,,2021-10-18,18.120001,0.4967,14.5143,21.7439,16.6115,5.6843
2021Q4,ADUS,$100M-$500M,1.0,2.0,2.0,0.0,0.0,5.0,good,,,,,,,2021-11-02,90.010002,14.2873,14.2762,-1.3998,3.9884,-11.3099
2021Q4,ADV,$2B-$10B,-1.0,2.0,2.0,0.0,0.0,3.0,good,,,,,,,2021-11-10,211.75,-4.2503,-14.6399,-11.4522,-13.3412,-12.1606
2021Q4,AEE,$2B-$10B,2.0,2.0,-1.0,-1.0,0.0,2.0,mixed,,,,,,,2021-11-04,84.029999,2.0945,2.0588,2.273,5.4147,5.3909
2021Q4,AEIS,$500M-$1B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-09,91.139999,-1.7007,-2.6223,-3.544,-2.5784,-8.8764
2021Q4,AEO,$2B-$10B,-1.0,-1.0,-1.0,-1.0,1.0,-3.0,weak,,,,,,,2021-11-24,27.76,-1.7291,-14.1931,-13.3285,-16.4986,-25.1441
2021Q4,AEP,>$10B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,,,,,,2021-10-29,84.709999,-0.9562,-2.2311,-1.6527,4.1317,5.5365
2021Q4,AES,$2B-$10B,-1.0,2.0,1.0,0.0,0.0,2.0,mixed,,,,,,,2021-11-04,25.85,-3.1721,-4.3714,-5.764,-5.6867,-13.6944
2021Q4,AFL,>$10B,1.0,2.0,1.0,0.0,0.0,4.0,good,,,,,,,2021-10-28,55.82,1.6661,1.9706,-0.215,4.2637,11.3579
2021Q4,AFRM,$100M-$500M,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,weak,,,,,,,2021-11-11,165.25,-25.2587,-29.4584,-33.4584,-52.6536,-54.8079
2021Q4,AGX,$100M-$500M,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-12-09,41.57,-10.9695,-7.5535,-6.1102,-7.9865,-3.5121
2021Q4,AGYS,<$100M,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,weak,,,,,,,2021-10-27,48.490002,4.867,-0.3712,-10.2702,-8.0223,-25.0773
2021Q4,AHCO,$100M-$500M,-1.0,2.0,-1.0,0.0,0.0,0.0,mixed,,,,,,,2021-11-05,26.17,-3.3626,-17.4627,-21.1693,-11.005,-34.2759
2021Q4,AHRT,$100M-$500M,1.0,2.0,2.0,1.0,0.0,6.0,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2021-11-03,14.56,2.9533,1.1676,-2.3352,5.9753,-4.6016
2021Q4,AI,<$100M,1.0,2.0,2.0,-1.0,0.0,4.0,good,,,,,,,2021-12-02,31.51,2.6658,6.125,2.5071,-16.4075,-28.0863
2021Q4,AIOT,<$100M,-1.0,1.0,2.0,0.0,0.0,2.0,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2021-11-05,6.7,-1.4925,-7.0149,-7.0149,-26.5672,-46.7164
2021Q4,AIZ,$2B-$10B,1.0,1.0,2.0,0.0,0.0,4.0,good,,,,,,,2021-11-03,161.369995,-0.7808,2.0636,-5.664,-3.1604,-6.2713
2021Q4,AJG,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-10-29,164.369995,-2.105,-0.9491,0.2677,3.0115,-9.1501
2021Q4,AKAM,$500M-$1B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-11-03,107.0,1.3832,4.486,3.8692,9.8224,7.5981
2021Q4,ALB,$1B-$2B,2.0,2.0,-1.0,-1.0,0.0,2.0,mixed,,,,,,,2021-11-04,273.769989,-0.9059,0.2593,-9.2158,-13.5515,-19.0963
2021Q4,ALG,$500M-$1B,1.0,2.0,2.0,1.0,1.0,7.0,strong,,,,,,,2021-11-04,153.0,1.2811,1.2876,-3.5556,-2.5163,-11.8954
2021Q4,ALGM,$100M-$500M,1.0,2.0,1.0,1.0,0.0,5.0,good,,,,,,,2021-10-29,34.0,-3.8824,-4.5,-6.4118,4.9412,-24.6765
2021Q4,ALGN,$500M-$1B,2.0,1.0,-1.0,1.0,0.0,3.0,good,,,,,,,2021-10-28,658.390015,7.971,5.1535,-3.6331,0.4071,-30.5336
2021Q4,ALGT,$500M-$1B,-1.0,2.0,2.0,0.0,0.0,3.0,good,,,,,,,2021-10-28,178.0,8.2865,5.5225,-1.5169,6.2753,-1.882
2021Q4,ALKS,$500M-$1B,-1.0,1.0,2.0,1.0,0.0,3.0,good,,,,,,,2021-10-28,28.540001,2.768,-18.8858,-21.5137,-16.9236,-12.3686
2021Q4,ALLE,$1B-$2B,2.0,2.0,2.0,1.0,1.0,8.0,strong,,,,,,,2021-10-22,132.110001,-1.6956,0.2271,0.3558,-4.3524,-8.5989
2021Q4,ALRM,$100M-$500M,1.0,2.0,2.0,-1.0,1.0,5.0,good,,,,,,,2021-11-05,87.650002,-4.5636,-9.7205,-9.3326,-3.3885,-20.3195
2021Q4,ALTG,$500M-$1B,-1.0,-1.0,-1.0,-1.0,1.0,-3.0,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-15,17.379999,-12.6007,-20.023,-21.2888,-14.9022,-25.8343
2021Q4,AMC,$1B-$2B,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,weak,,,,,,,2021-11-09,424.299988,-3.6766,-13.1746,-30.568,-46.3116,-64.8598
2021Q4,AMCX,$2B-$10B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-08,49.470001,-10.3497,-20.1334,-19.1631,-17.8896,-19.7696
2021Q4,AMD,$2B-$10B,1.0,1.0,1.0,0.0,0.0,3.0,good,,,,,,,2021-10-27,121.629997,23.4564,25.3391,27.2795,26.9095,-8.6327
2021Q4,AME,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-11-03,140.149994,-0.0428,2.112,-0.7207,2.5116,-2.1834
2021Q4,AMGN,>$10B,2.0,2.0,2.0,0.0,0.0,6.0,strong,,,,,,,2021-11-03,210.910004,-1.6642,-3.025,-4.0159,7.4819,8.4254
2021Q4,AMKR,$2B-$10B,1.0,2.0,-1.0,0.0,0.0,2.0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2021-10-26,23.559999,-0.1698,-0.7216,-5.6452,0.6367,-5.7301
2021Q4,AMN,$1B-$2B,1.0,2.0,-1.0,-1.0,1.0,2.0,mixed,,,,,,,2021-11-05,123.669998,-9.9458,-5.8058,-10.059,-2.4501,-14.2476
2021Q4,AMP,$2B-$10B,2.0,2.0,2.0,0.0,0.0,6.0,strong,,,,,,,2021-10-27,305.0,0.6328,1.2066,-4.3475,0.7836,-2.1213
2021Q4,AMPH,$100M-$500M,1.0,2.0,2.0,0.0,0.0,5.0,good,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-09,20.049999,2.2943,-2.8429,6.783,28.8279,31.0225
2021Q4,AMR,$1B-$2B,-1.0,1.0,-1.0,1.0,1.0,1.0,mixed,,,,,,,2021-11-08,61.959999,-23.4345,-24.3706,-17.3338,1.1943,23.9994
2021Q4,AMRX,$500M-$1B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2021-11-04,5.05,2.1782,-8.5149,-16.4357,-3.9604,-5.7426
2021Q4,AMT,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-10-29,284.230011,-1.9245,-8.8907,-6.0831,1.4988,-16.8174
2021Q4,AMWD,$500M-$1B,1.0,1.0,2.0,1.0,1.0,6.0,strong,,,,,,,2021-11-24,67.730003,0.3986,-5.4924,-4.3851,-6.644,-26.6352
2021Q4,ANDE,$2B-$10B,-1.0,1.0,1.0,1.0,2.0,4.0,good,,,,,,,2021-11-03,36.0,3.75,3.4722,-7.0278,9.0,5.6667
2021Q4,ANET,$1B-$2B,2.0,2.0,-1.0,1.0,0.0,4.0,good,,,,,,,2021-11-02,30.598749,7.3982,4.7102,0.7231,16.2139,1.5646
2021Q4,ANF,$1B-$2B,-1.0,1.0,1.0,0.0,0.0,1.0,mixed,,,,,,,2021-11-26,37.790001,-4.4721,-12.3578,-8.1503,-2.2228,1.6936
2021Q4,ANGI,$500M-$1B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-10-13,119.599998,6.9398,-1.3378,-8.194,-22.7425,-27.6756
2021Q4,AON,$2B-$10B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-01,316.929993,-5.5754,-5.8057,-8.1469,-5.1652,-12.7757
2021Q4,AOS,$1B-$2B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-10-29,70.769997,9.651,16.3063,14.2575,20.8704,7.1782
2021Q4,AOSL,$100M-$500M,1.0,1.0,-1.0,-1.0,1.0,1.0,mixed,,,,,,,2021-11-05,39.970001,10.9082,7.8309,19.7148,52.2892,11.1834
2021Q4,APAM,$100M-$500M,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-10-27,50.740002,2.5227,-1.4584,-6.76,-5.0256,-17.2251
2021Q4,APD,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-11-05,302.75,0.3468,-3.0091,-3.2568,-1.0999,-7.2238
2021Q4,APEI,$100M-$500M,1.0,2.0,2.0,1.0,1.0,7.0,strong,,,,,,,2021-11-09,25.120001,-5.6927,-22.6911,-12.5796,-8.3599,-20.7803
2021Q4,APH,$2B-$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-10-28,38.145,7.0258,11.2859,8.7036,13.9468,0.0655
2021Q4,APLE,$100M-$500M,-1.0,1.0,-1.0,-1.0,0.0,-2.0,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-05,16.795,-4.7336,-9.1396,-6.1625,-0.9229,-4.6145
2021Q4,APP,$500M-$1B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,,,,,,2021-11-11,103.697998,-7.9056,-16.9415,-14.3185,-20.0177,-27.9157
2021Q4,APPF,$100M-$500M,1.0,2.0,2.0,1.0,1.0,7.0,strong,,,,,,,2021-11-09,134.0,-7.4627,-9.3507,-8.2239,-8.8134,-13.1194
2021Q4,APPN,$100M-$500M,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,weak,,,,,,,2021-11-05,97.419998,-9.4231,-23.722,-30.0554,-32.3137,-46.8384
2021Q4,APTV,$2B-$10B,2.0,1.0,1.0,-1.0,1.0,4.0,good,,,,,,,2021-11-05,179.660004,-4.1912,-9.0449,-8.4883,-4.1467,-26.6058
2021Q4,ARCB,$1B-$2B,1.0,1.0,1.0,-1.0,1.0,3.0,good,,,,,,,2021-11-03,106.0,4.2547,3.9151,-2.1321,6.2925,-11.6698
2021Q4,ARES,$500M-$1B,1.0,-1.0,-1.0,-1.0,0.0,-2.0,weak,,,,,,,2021-10-28,83.449997,3.1875,6.459,-1.4619,-0.7789,-13.9365
2021Q4,ARLO,$100M-$500M,-1.0,-1.0,-1.0,1.0,0.0,-2.0,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2021-11-10,7.36,9.2391,5.2989,22.6902,30.0272,19.5652
2021Q4,ARLP,$500M-$1B,-1.0,2.0,2.0,1.0,0.0,4.0,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2021-10-26,12.21,-4.3407,-12.8583,-14.742,-0.9009,12.1212
2021Q4,AROC,$500M-$1B,-1.0,2.0,2.0,1.0,0.0,4.0,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2021-11-03,8.18,0.2445,-1.2225,-8.0685,-4.89,4.89
2021Q4,ARRY,$500M-$1B,1.0,-1.0,-1.0,1.0,2.0,2.0,mixed,,,,,,,2021-11-15,25.9,-12.278,-32.5869,-34.5946,-49.4981,-65.6757
2021Q4,ARWR,$100M-$500M,2.0,2.0,2.0,-1.0,0.0,5.0,good,,,,,,,2021-11-23,68.0,-0.7353,5.1177,3.3088,-22.3676,-36.5882
2021Q4,ASAN,<$100M,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,weak,,,,,,,2021-12-03,70.705002,-9.2002,10.1761,1.3507,-24.4608,-31.1647
2021Q4,ASB,$500M-$1B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2021-10-22,21.75,5.2874,9.8391,8.4138,2.2069,9.4713
2021Q4,ASGN,$1B-$2B,1.0,2.0,2.0,1.0,1.0,7.0,strong,,,,,,,2021-10-29,116.839996,9.8768,7.9168,5.5289,6.2564,-4.3393
2021Q4,ASIX,$1B-$2B,1.0,1.0,-1.0,0.0,2.0,3.0,good,,,,,,,2021-11-01,49.68,-0.2214,-3.4622,-11.876,-4.8913,-15.2778
2021Q4,ASO,$2B-$10B,-1.0,2.0,2.0,1.0,1.0,5.0,good,,,,,,,2021-12-13,46.993999,-14.6061,-5.9242,-14.4997,-22.3518,-26.7566
2021Q4,ASTH,$100M-$500M,1.0,1.0,2.0,1.0,0.0,5.0,good,,,,,,,2021-11-05,84.870003,40.3558,11.4175,-10.4513,-23.0117,-40.2498
2021Q4,ATKR,$1B-$2B,1.0,2.0,1.0,1.0,2.0,7.0,strong,,,,,,,2021-11-19,111.5,-2.5561,-0.9865,-10.1794,-9.6502,-6.7444
2021Q4,ATNI,$100M-$500M,1.0,2.0,-1.0,1.0,0.0,3.0,good,,,,,,,2021-10-29,42.98,2.0242,-1.7683,-6.8637,-6.6543,-9.6324
2021Q4,ATO,$2B-$10B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,,,,,,2021-11-11,95.32,0.3147,-6.1792,2.1297,10.3126,14.1943
2021Q4,ATRO,$100M-$500M,-1.0,2.0,2.0,1.0,0.0,4.0,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2021-11-09,14.31,-11.2509,-25.6464,-24.9476,-7.3375,-18.9378
2021Q4,AVA,$500M-$1B,1.0,2.0,-1.0,0.0,0.0,2.0,mixed,,,,,,,2021-11-04,40.740002,-0.4909,-3.1419,-1.0309,3.7801,8.1738
2021Q4,AVAV,$100M-$500M,1.0,2.0,-1.0,1.0,0.0,3.0,good,,,,,,,2021-12-08,55.509998,13.1328,13.1328,12.6464,3.603,36.1917
2021Q4,AVB,$1B-$2B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-10-29,238.410004,-0.0126,3.2339,0.9941,5.0333,-0.5033
2021Q4,AVD,$100M-$500M,1.0,1.0,1.0,1.0,0.0,4.0,good,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-11,17.709999,-10.559,-19.7064,-15.415,-9.2603,-15.1327
2021Q4,AVNS,$500M-$1B,1.0,-1.0,-1.0,1.0,0.0,0.0,mixed,,,,,,,2021-11-03,32.48,3.3559,0.7389,-8.4975,9.2672,-7.0197
2021Q4,AVNT,$2B-$10B,1.0,1.0,-1.0,-1.0,0.0,0.0,mixed,,,,,,,2021-10-29,54.75,6.9041,11.1415,4.9132,2.6849,-8.8037
2021Q4,AVNW,$100M-$500M,1.0,1.0,1.0,1.0,1.0,5.0,good,,,,,,,2021-11-04,31.610001,1.2654,-0.5694,-7.0864,5.2199,-2.1829
2021Q4,AVY,$2B-$10B,1.0,1.0,-1.0,0.0,1.0,2.0,mixed,,,,,,,2021-10-28,210.0,7.8476,6.1524,2.6333,1.1905,-7.0143
2021Q4,AWK,$2B-$10B,1.0,2.0,-1.0,-1.0,0.0,1.0,mixed,,,,,,,2021-11-03,172.0,0.3953,0.6279,-0.2151,7.0581,-7.7267
2021Q4,AWR,$100M-$500M,1.0,2.0,-1.0,0.0,0.0,2.0,mixed,,,,,,,2021-11-02,90.0,2.8889,6.6778,6.4889,14.2222,2.4778
2021Q4,AXON,$100M-$500M,1.0,1.0,-1.0,-1.0,0.0,0.0,mixed,,,,,,,2021-11-16,208.839996,-15.1504,-29.027,-31.9527,-36.698,-32.7188
2021Q4,AXP,>$10B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-10-25,186.729996,-7.6046,-1.9279,-8.0973,-11.9638,-14.8878
2021Q4,BALL,$2B-$10B,1.0,-1.0,-1.0,1.0,0.0,0.0,mixed,,,,,,,2021-11-05,91.220001,5.1085,3.8149,1.6005,-1.3265,2.0829
2021Q4,BANC,<$100M,-1.0,-1.0,2.0,1.0,0.0,1.0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2021-10-22,19.93,5.6197,9.2323,7.3256,-2.559,0.7025
2021Q4,BARK,<$100M,1.0,1.0,1.0,0.0,0.0,3.0,good,,,,,,,2021-11-11,144.899994,-31.539,-36.2319,-36.3699,-50.3106,-40.6487
2021Q4,BAX,$2B-$10B,2.0,2.0,1.0,0.0,0.0,5.0,good,,,,,,,2021-10-29,78.110001,0.8066,1.2802,-2.6629,11.0613,8.3472
2021Q4,BBBY,$1B-$2B,1.0,2.0,2.0,0.0,2.0,7.0,strong,,,,,,,2021-10-29,93.410004,12.7931,14.1955,-3.5863,-35.6386,-57.9702
2021Q4,BBSI,$100M-$500M,-1.0,-1.0,-1.0,1.0,0.0,-2.0,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2021-11-04,21.137501,-7.7469,-9.793,-16.7711,-18.1549,-24.6127
2021Q4,BBT,$100M-$500M,-1.0,2.0,2.0,-1.0,0.0,2.0,mixed,,,,,,,2021-10-22,28.33,0.2118,-0.6707,0.1059,-1.5178,7.2009
2021Q4,BBY,>$10B,1.0,2.0,2.0,1.0,2.0,8.0,strong,,,,,,,2021-11-24,120.220001,-12.9429,-15.6796,-17.5844,-15.6713,-24.6798
2021Q4,BCC,$2B-$10B,1.0,1.0,2.0,1.0,2.0,7.0,strong,,,,,,,2021-11-02,59.700001,15.5779,23.1491,12.5293,18.8945,17.6214
2021Q4,BCO,$1B-$2B,1.0,-1.0,-1.0,-1.0,0.0,-2.0,weak,,,,,,,2021-10-28,66.790001,1.602,0.4042,-6.9022,-1.3325,2.68
2021Q4,BCPC,$500M-$1B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-01,154.110001,5.9763,11.933,2.031,9.4024,-4.6525
2021Q4,BDC,$500M-$1B,-1.0,-1.0,-1.0,0.0,0.0,-3.0,weak,,,,,,,2021-11-04,66.150002,2.8723,0.3628,-5.3968,-1.8896,-12.1693
2021Q4,BDN,$100M-$500M,1.0,2.0,2.0,1.0,0.0,6.0,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2021-10-27,13.51,3.4049,6.9578,0.7402,0.5922,-3.849
2021Q4,BDX,>$10B,1.0,2.0,2.0,0.0,0.0,5.0,good,,,,,,,2021-11-05,184.775269,1.1498,1.7351,2.1709,4.5121,12.3158
2021Q4,BE,$100M-$500M,-1.0,-1.0,-1.0,0.0,0.0,-3.0,weak,,,,,,,2021-11-05,28.530001,6.4494,-4.3814,-14.3007,-24.4655,-50.6484
2021Q4,BEN,$2B-$10B,2.0,2.0,2.0,-1.0,0.0,5.0,good,,,,,,,2021-11-02,35.849998,0.1674,-3.7657,-8.954,-6.8061,-10.8229
2021Q4,BF-B,$1B-$2B,2.0,2.0,2.0,1.0,0.0,7.0,strong,,,,,,,2021-12-09,70.269997,2.5046,3.1023,-6.3612,-4.3973,-8.5812
2021Q4,BFH,$2B-$10B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-10-29,68.858742,8.8751,9.8045,2.703,-1.494,-4.079
2021Q4,BGS,$1B-$2B,1.0,2.0,2.0,1.0,0.0,6.0,strong,,,,,,,2021-11-05,30.549999,8.3142,-0.1637,-1.2439,3.4043,2.9133
2021Q4,BHE,$1B-$2B,1.0,1.0,-1.0,1.0,1.0,3.0,good,,Tier 0 - Broad right-tail scouting universe,,,,,2021-10-28,23.83,9.274,9.274,0.1259,13.2606,1.3848
2021Q4,BHF,$2B-$10B,2.0,1.0,-1.0,-1.0,0.0,1.0,mixed,,,,,,,2021-11-05,56.07,-1.2484,-9.6843,-9.3633,1.1236,-0.1962
