quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2023Q4,A,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-11-21,121.459999,6.0349,6.1831,14.3916,9.1306,10.4397
2023Q4,AAP,$2B-$10B,1,1,1,1,1,5,good,,,,,,,2023-11-16,53.610001,-4.8498,2.8913,13.1505,14.5309,19.8657
2023Q4,AAT,$100M-$500M,1,2,-1,1,0,3,good,,Tier 0 - Broad right-tail scouting universe,,,,,2023-10-25,17.389999,13.2835,14.8936,8.0506,32.4899,34.6751
2023Q4,ABG,$2B-$10B,1,1,2,1,1,6,strong,,,,,,,2023-10-25,183.490005,11.3358,19.1237,14.3169,21.7124,13.2214
2023Q4,ABM,$2B-$10B,1,-1,-1,0,2,1,mixed,,,,,,,2023-12-14,52.970001,-14.0079,-18.0668,-21.9181,-22.4844,-20.3323
2023Q4,ABNB,$2B-$10B,-1,2,2,0,0,3,good,,,,,,,2023-11-02,122.510002,-2.7426,5.3302,9.1339,9.7706,17.6557
2023Q4,ABT,>$10B,2,2,2,1,0,7,strong,,,,,,,2023-10-19,96.540001,-3.6669,-1.8645,4.8270,11.9329,18.0133
2023Q4,ACA,$1B-$2B,1,1,1,1,0,4,good,,,,,,,2023-11-02,65.660004,7.0362,13.1587,16.3570,24.9315,19.2202
2023Q4,ACAD,$100M-$500M,-1,-1,-1,0,0,-3,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-03,24.000000,-6.5833,-7.1250,-4.7917,28.5833,8.9167
2023Q4,ACCO,$500M-$1B,-1,-1,-1,-1,0,-4,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2023-11-03,5.110000,-7.4364,1.7612,5.8708,22.7006,24.0704
2023Q4,ACDC,$1B-$2B,1,2,-1,-1,1,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-11-10,8.110000,2.4661,-0.6165,-0.8631,-3.4525,-9.6178
2023Q4,ACGL,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-10-31,85.209999,0.8684,-0.8802,-1.7838,-11.3367,-6.4312
