quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,A,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-08-22,145.380005,-4.4160,-4.5949,-3.8451,-5.9293,-11.5628
2024Q3,AAP,$2B-$10B,1,-1,-1,1,0,0,mixed,,,,,,,2024-08-23,51.299999,-14.7758,-23.0409,-20.9162,-24.4639,-24.5809
2024Q3,AAT,$100M-$500M,2,2,2,-1,0,5,good,,,,,,,2024-07-31,25.980000,-5.8891,-1.3472,4.8884,2.8483,5.2348
2024Q3,ABG,$2B-$10B,1,1,1,1,0,4,good,,,,,,,2024-08-05,220.820007,5.0584,10.5244,5.8419,4.9814,7.3182
2024Q3,ABM,$2B-$10B,1,-1,-1,0,1,0,mixed,,,,,,,2024-09-09,51.610001,0.4263,2.2282,1.8020,11.8582,10.1143
2024Q3,ABNB,$1B-$2B,1,2,2,-1,0,4,good,,,,,,,2024-08-07,112.440002,5.9587,3.8243,1.6364,15.8218,22.5720
2024Q3,ABT,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-19,100.610001,4.1348,9.0945,11.2215,17.4138,17.1752
2024Q3,ACA,$500M-$1B,2,1,-1,1,0,3,good,,,,,,,2024-08-02,86.160004,-5.4898,1.3928,0.0812,8.2869,8.6815
2024Q3,ACAD,$100M-$500M,-1,-1,2,0,0,0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-08-07,15.400000,2.3377,2.2727,4.3506,-4.3506,-2.5974
2024Q3,ACCO,$100M-$500M,-1,-1,-1,-1,0,-4,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2024-08-02,4.850000,-2.2680,7.8351,10.9278,10.5155,1.0309
2024Q3,ACDC,$500M-$1B,1,2,-1,-1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-08-09,6.110000,7.8560,10.8020,4.0917,17.8396,16.8576
