quarter,ticker,cik,asof_date
2024Q1,A,1090872,2024-02-27
2024Q1,AAP,1158449,2024-02-28
2024Q1,AAT,1500217,2024-02-06
2024Q1,ABG,1144980,2024-02-08
2024Q1,ABM,771497,2024-03-07
2024Q1,ABNB,1559720,2024-02-13
2024Q1,ACA,1739445,2024-02-22
2024Q1,ACAD,1070494,2024-02-27
2024Q1,ACCO,712034,2024-02-22
2024Q1,ACDC,0001881487,2024-03-13
2024Q1,ACGL,947484,2024-02-14
2024Q1,ACH,75252,2024-02-20
2024Q1,ACIW,935036,2024-02-29
2024Q1,ACLS,1113232,2024-02-07
2024Q1,ACT,1823529,2024-02-06
2024Q1,ACVA,1637873,2024-02-21
2024Q1,ADBE,796343,2024-03-14
2024Q1,ADEA,1803696,2024-02-20
2024Q1,ADI,6281,2024-02-21
2024Q1,ADNT,1670541,2024-01-22
2024Q1,ADSK,769397,2024-02-29
2024Q1,ADTN,926282,2024-02-27
2024Q1,ADUS,1468328,2024-02-26
2024Q1,ADV,1776661,2024-02-29
2024Q1,AEE,1002910,2024-02-22
2024Q1,AEIS,927003,2024-02-06
2024Q1,AEO,919012,2024-03-07
2024Q1,AEP,4904,2024-02-26
2024Q1,AES,874761,2024-02-26
2024Q1,AESI,0001984060,2024-02-27
2024Q1,AFL,4977,2024-01-31
2024Q1,AFRM,1820953,2024-02-08
2024Q1,AGYS,78749,2024-01-22
2024Q1,AHCO,1725255,2024-02-27
2024Q1,AHR,1632970,2024-03-21
2024Q1,AHRT,1569187,2024-02-22
2024Q1,AI,1577526,2024-02-28
2024Q1,AIOT,1774170,2024-03-12
2024Q1,AJG,354190,2024-01-25
2024Q1,AKAM,1086222,2024-02-13
2024Q1,ALB,915913,2024-02-14
2024Q1,ALG,897077,2024-02-22
2024Q1,ALGM,866291,2024-02-01
2024Q1,ALGN,1097149,2024-01-31
2024Q1,ALGT,1362468,2024-02-05
2024Q1,ALKS,1520262,2024-02-15
2024Q1,ALLE,1579241,2024-02-20
2024Q1,ALRM,1459200,2024-02-22
2024Q1,ALTG,1759824,2024-03-14
2024Q1,AMC,1411579,2024-02-28
2024Q1,AMCX,1514991,2024-02-09
2024Q1,AMD,2488,2024-01-30
2024Q1,AME,1037868,2024-02-06
2024Q1,AMGN,318154,2024-02-06
2024Q1,AMN,1142750,2024-02-15
2024Q1,AMPH,1297184,2024-02-28
2024Q1,AMR,1704715,2024-02-26
2024Q1,AMRX,1723128,2024-01-10
2024Q1,AMT,1053507,2024-02-27
2024Q1,AMWD,794619,2024-02-29
2024Q1,ANDE,821026,2024-02-20
2024Q1,ANET,1596532,2024-02-12
2024Q1,ANF,1018840,2024-03-07
2024Q1,ANGI,1705110,2024-02-13
2024Q1,ANGO,1275187,2024-01-05
2024Q1,AON,315293,2024-02-02
2024Q1,AOS,91142,2024-01-30
2024Q1,AOSL,1387467,2024-02-06
2024Q1,APAM,1517302,2024-01-30
2024Q1,APD,2969,2024-02-05
2024Q1,APEI,1201792,2024-03-05
2024Q1,APH,820313,2024-01-24
2024Q1,APLE,1418121,2024-02-22
2024Q1,APO,0001858681,2024-02-08
2024Q1,APP,1751008,2024-02-14
2024Q1,APPF,1433195,2024-01-25
2024Q1,APPN,1441683,2024-02-15
2024Q1,APTV,1521332,2024-01-31
2024Q1,ARCB,894405,2024-02-06
2024Q1,ARES,1176948,2024-02-08
2024Q1,ARLO,1736946,2024-02-29
2024Q1,ARLP,1086600,2024-01-29
2024Q1,AROC,1389050,2024-02-21
2024Q1,ARRY,1820721,2024-02-27
2024Q1,ARWR,879407,2024-02-06
2024Q1,ASAN,1477720,2024-03-11
2024Q1,ASB,7789,2024-01-25
2024Q1,ASGN,890564,2024-02-07
2024Q1,ASIX,1673985,2024-02-16
2024Q1,ASO,1817358,2024-03-21
2024Q1,ASTH,1083446,2024-02-27
2024Q1,ATKR,1666138,2024-02-01
2024Q1,ATMU,0001921963,2024-02-14
2024Q1,ATNI,879585,2024-02-22
2024Q1,ATO,731802,2024-02-06
2024Q1,ATRO,8063,2024-01-09
2024Q1,AVA,104918,2024-02-21
2024Q1,AVAV,1368622,2024-03-04
2024Q1,AVB,915912,2024-02-01
2024Q1,AVD,5981,2024-03-18
2024Q1,AVNS,1606498,2024-01-04
2024Q1,AVNT,1122976,2024-02-14
2024Q1,AVNW,1377789,2024-02-06
2024Q1,AVY,8818,2024-01-31
2024Q1,AWK,1410636,2024-02-14
2024Q1,AWR,1056903,2024-02-21
2024Q1,AXON,1069183,2024-02-27
2024Q1,AXP,4962,2024-01-26
2024Q1,AZZ,8947,2024-01-09
2024Q1,BALL,9389,2024-02-01
2024Q1,BANC,1169770,2024-01-25
2024Q1,BARK,1819574,2024-01-08
2024Q1,BAX,10456,2024-02-08
2024Q1,BBBY,1130713,2024-02-20
2024Q1,BBSI,902791,2024-02-28
2024Q1,BBT,1108134,2024-01-25
2024Q1,BBY,764478,2024-02-29
2024Q1,BCC,1328581,2024-02-20
2024Q1,BCO,78890,2024-02-29
2024Q1,BCPC,9326,2024-02-16
2024Q1,BDC,913142,2024-02-08
2024Q1,BDN,790816,2024-02-01
2024Q1,BDX,10795,2024-02-01
2024Q1,BE,1664703,2024-02-15
2024Q1,BEN,38777,2024-01-29
2024Q1,BFH,1101215,2024-01-25
2024Q1,BGS,1278027,2024-02-27
2024Q1,BHE,863436,2024-01-31
2024Q1,BHF,1685040,2024-02-12
2024Q1,BHFAL,1685040,2024-02-12
2024Q1,BHFAM,1685040,2024-02-12
2024Q1,BHFAN,1685040,2024-02-12
2024Q1,BHFAO,1685040,2024-02-12
2024Q1,BHFAP,1685040,2024-02-12
2024Q1,BHR,1574085,2024-02-29
2024Q1,BIIB,875045,2024-02-13
2024Q1,BKH,1130464,2024-02-07
2024Q1,BKNG,1075531,2024-02-22
2024Q1,BKR,1701605,2024-01-23
2024Q1,BLBD,1589526,2024-02-07
2024Q1,BLDR,1316835,2024-02-22
2024Q1,BLKB,1280058,2024-02-12
2024Q1,BLMN,1546417,2024-02-23
2024Q1,BMBL,1830043,2024-02-27
2024Q1,BMI,9092,2024-01-26
2024Q1,BMRN,1048477,2024-02-22
2024Q1,BNED,1634117,2024-03-13
2024Q1,BNL,1424182,2024-02-21
2024Q1,BOOT,1610250,2024-01-05
2024Q1,BOX,1372612,2024-03-05
2024Q1,BPOP,763901,2024-01-25
2024Q1,BR,1383312,2024-02-01
2024Q1,BRKR,1109354,2024-01-08
2024Q1,BRO,79282,2024-01-23
2024Q1,BRSP,1717547,2024-02-21
2024Q1,BSX,885725,2024-01-31
2024Q1,BSY,1031308,2024-02-27
2024Q1,BTSG,0001865782,2024-02-29
