Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
A,$2B-$10B,654000000,10763000000,-407000000,-181000000,694000000,-11.1791
AAL,$10B-$50B,10000000,63058000000,-539000000,-2796000000,3333000000,3.8394
AAP,$2B-$10B,48323000,12276326000,-425202000,-89671000,-382524000,-6.5916
AAPL,>$50B,54158000000,352583000000,-61287000000,874000000,62565000000,22.0708
AAT,$100M-$500M,20666000,2984681000,11485000,-25695000,51967000,-4.4964
ABG,$2B-$10B,181400000,10159400000,-55000000,-55200000,171700000,-11.3357
ABM,$2B-$10B,90400000,4933700000,62800000,-22200000,-45000000,-20.7606
ABNB,$1B-$2B,117000000,20645000000,2286000000,-183000000,1587000000,-13.6662
ACA,$500M-$1B,55700000,3577900000,-4400000,-34100000,27300000,43.7162
ACAD,$100M-$500M,-43021000,748956000,1466000,192518000,-17933000,39.2217
ACCO,$100M-$500M,-3700000,2644800000,88200000,-2000000,-23200000,-29.1045
ACDC,$500M-$1B,22000000,3070700000,327100000,-525800000,233500000,-2.953
ACGL,$2B-$10B,715000000,58906000000,-30000000,-996000000,963000000,-5.2564
ACH,$2B-$10B,-24418000,5093322000,-127489000,-34184000,158398000,-74.963
ACIW,$100M-$500M,-32308000,3444739000,-20326000,-8739000,40068000,9.4366
ACLS,$100M-$500M,47697000,1281967000,-16670000,-33049000,34559000,-4.5221
ACT,$100M-$500M,255943000,6190473000,-44956000,33463000,119339000,43.0794
ACVA,$100M-$500M,-18200000,922924000,17280000,-23866000,42980000,-70.9731
ADBE,$2B-$10B,2542000000,29779000000,-3094000000,478000000,3832000000,-56.5972
ADEA,$100M-$500M,29021000,1105556000,-95088000,-390000,63352000,168.3363
ADI,$2B-$10B,1939130000,48794478000,-2320272000,-460577000,2487886000,52.7172
ADM,$10B-$50B,1170000000,54631000000,598000000,-328000000,-1610000000,15.3404
ADNT,$2B-$10B,-3000000,9424000000,-218000000,-111000000,170000000,-14.5276
ADP,$10B-$50B,2635300000,50971000000,-5686200000,-2052800000,3021900000,-16.097
ADSK,$2B-$10B,497000000,9438000000,-169000000,-1595000000,1531000000,-3.2057
ADTN,$100M-$500M,-40083000,1682512000,55628000,-6794000,-19926000,214.4886
ADUS,$100M-$500M,12675000,1024426000,-23475000,-1742000,18799000,-16.9595
ADV,$500M-$1B,-47587000,3779323000,-6878000,-7278000,43086000,-59.0152
AEE,$2B-$10B,265000000,40830000000,489000000,-964000000,496000000,57.2811
AEIS,$100M-$500M,30921000,2556757000,-10805000,-16210000,29811000,248.2485
AEO,$1B-$2B,18453000,3373894000,1908000,-46020000,-8216000,-11.0698
AEP,$2B-$10B,400400000,96684000000,1364400000,-2245200000,717800000,52.6978
AES,$2B-$10B,151000000,44799000000,1016000000,-1624000000,625000000,-18.7325
AESI,$100M-$500M,1734000,1261686000,277351000,-60940000,54235000,-15.269
AFL,$2B-$10B,1188000000,126724000000,-933000000,-77000000,890000000,28.1897
AFRM,$1B-$2B,-251269000,8155615000,740396000,-875896000,-31608000,94.5382
AGX,$100M-$500M,2109000,475694000,-6494000,28750000,-1248000,781.6723
AGYS,$100M-$500M,6478000,243036000,-4901000,-25679000,28475000,-36.1731
AHCO,$500M-$1B,15707000,4508650000,4448000,-89567000,140248000,30.3912
AHR,$100M-$500M,-25872000,4577933000,-14300000,-33319000,23862000,244.1558
