Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today,revenue_value,net_income_margin,operating_cash_flow_margin,fcf_proxy,fcf_proxy_margin,financing_dependence,accrual_spread,asset_turnover,cash_quality_score,cash_quality_bucket
A,$2B-$10B,654000000,10763000000,-407000000,-181000000,694000000,-11.1791,3473000000.0,0.18831,0.199827,513000000.0,0.147711,0.0,-0.011517,0.32268,0.336021,0 to 1 okay
AAL,$10B-$50B,10000000,63058000000,-539000000,-2796000000,3333000000,3.8394,12189000000.0,0.00082,0.273443,537000000.0,0.044056,0.0,-0.272623,0.193298,0.044877,0 to 1 okay
AAP,$2B-$10B,48323000,12276326000,-425202000,-89671000,-382524000,-6.5916,3417594000.0,0.014139,-0.111928,-472195000.0,-0.138166,0.0,0.126067,0.278389,-0.376161,-1 to 0 mixed
AAPL,>$50B,54158000000,352583000000,-61287000000,874000000,62565000000,22.0708,211990000000.0,0.255474,0.295132,63439000000.0,0.299255,0.0,-0.039658,0.601249,0.554729,0 to 1 okay
AAT,$100M-$500M,20666000,2984681000,11485000,-25695000,51967000,-4.4964,107754000.0,0.191789,0.482274,26272000.0,0.243815,0.106585,-0.290486,0.036102,0.329018,0 to 1 okay
ABG,$2B-$10B,181400000,10159400000,-55000000,-55200000,171700000,-11.3357,3582300000.0,0.050638,0.04793,116500000.0,0.032521,0.0,0.002708,0.352609,0.077743,0 to 1 okay
ABM,$2B-$10B,90400000,4933700000,62800000,-22200000,-45000000,-20.7606,3975300000.0,0.02274,-0.01132,-67200000.0,-0.016904,0.015798,0.03406,0.805744,-0.078082,-1 to 0 mixed
ABNB,$1B-$2B,117000000,20645000000,2286000000,-183000000,1587000000,-13.6662,1818000000.0,0.064356,0.872937,1404000000.0,0.772277,1.257426,-0.808581,0.08806,-0.420792,-1 to 0 mixed
ACA,$500M-$1B,55700000,3577900000,-4400000,-34100000,27300000,43.7162,549200000.0,0.10142,0.049709,-6800000.0,-0.012382,0.0,0.051712,0.153498,-0.014385,-1 to 0 mixed
ACAD,$100M-$500M,-43021000,748956000,1466000,192518000,-17933000,39.2217,118462000.0,-0.363163,-0.151382,174585000.0,1.473764,0.012375,-0.211781,0.15817,1.098226,1 to 2 good
ACCO,$100M-$500M,-3700000,2644800000,88200000,-2000000,-23200000,-29.1045,402600000.0,-0.00919,-0.057625,-25200000.0,-0.062593,0.219076,0.048435,0.152223,-0.38773,-1 to 0 mixed
ACDC,$500M-$1B,22000000,3070700000,327100000,-525800000,233500000,-2.953,857500000.0,0.025656,0.272303,-292300000.0,-0.340875,0.381458,-0.246647,0.279252,-0.696676,-1 to 0 mixed
ACGL,$2B-$10B,715000000,58906000000,-30000000,-996000000,963000000,-5.2564,3168000000.0,0.225694,0.303977,-33000000.0,-0.010417,0.0,-0.078283,0.053781,0.215278,0 to 1 okay
ACH,$2B-$10B,-24418000,5093322000,-127489000,-34184000,158398000,-74.963,2522849000.0,-0.009679,0.062785,124214000.0,0.049236,0.0,-0.072464,0.495325,0.039557,0 to 1 okay
ACIW,$100M-$500M,-32308000,3444739000,-20326000,-8739000,40068000,9.4366,289676000.0,-0.111532,0.13832,31329000.0,0.108152,0.0,-0.249852,0.084092,-0.00338,-1 to 0 mixed
ACLS,$100M-$500M,47697000,1281967000,-16670000,-33049000,34559000,-4.5221,254020000.0,0.187769,0.136048,1510000.0,0.005944,0.0,0.05172,0.198149,0.090272,0 to 1 okay
ACT,$100M-$500M,255943000,6190473000,-44956000,33463000,119339000,43.0794,280939000.0,0.911027,0.424786,152802000.0,0.543897,0.0,0.486241,0.045382,0.482443,0 to 1 okay
ACVA,$100M-$500M,-18200000,922924000,17280000,-23866000,42980000,-70.9731,119626000.0,-0.152141,0.359286,19114000.0,0.159781,0.14445,-0.511427,0.129616,-0.13681,-1 to 0 mixed
ADBE,$2B-$10B,2542000000,29779000000,-3094000000,478000000,3832000000,-56.5972,9471000000.0,0.268398,0.404604,4310000000.0,0.455073,0.0,-0.136205,0.318043,0.723472,0 to 1 okay
ADEA,$100M-$500M,29021000,1105556000,-95088000,-390000,63352000,168.3363,117307000.0,0.247394,0.540053,62962000.0,0.536728,0.0,-0.292659,0.106107,0.784122,0 to 1 okay
ADI,$2B-$10B,1939130000,48794478000,-2320272000,-460577000,2487886000,52.7172,6512560000.0,0.297752,0.382014,2027309000.0,0.311292,0.0,-0.084261,0.133469,0.609045,0 to 1 okay
ADM,$10B-$50B,1170000000,54631000000,598000000,-328000000,-1610000000,15.3404,24072000000.0,0.048604,-0.066883,-1938000000.0,-0.080508,0.024842,0.115487,0.440629,-0.28772,-1 to 0 mixed
ADNT,$2B-$10B,-3000000,9424000000,-218000000,-111000000,170000000,-14.5276,7611000000.0,-0.000394,0.022336,59000000.0,0.007752,0.0,-0.02273,0.807619,0.007358,0 to 1 okay
ADP,$10B-$50B,2635300000,50971000000,-5686200000,-2052800000,3021900000,-16.097,13534400000.0,0.194711,0.223276,969100000.0,0.071603,0.0,-0.028564,0.265531,0.266314,0 to 1 okay
ADSK,$2B-$10B,497000000,9438000000,-169000000,-1595000000,1531000000,-3.2057,4386000000.0,0.113315,0.349065,-64000000.0,-0.014592,0.0,-0.23575,0.464717,0.098723,0 to 1 okay
ADTN,$100M-$500M,-40083000,1682512000,55628000,-6794000,-19926000,214.4886,323912000.0,-0.123747,-0.061517,-26720000.0,-0.082492,0.171738,-0.06223,0.192517,-0.377976,-1 to 0 mixed
ADUS,$100M-$500M,12675000,1024426000,-23475000,-1742000,18799000,-16.9595,251599000.0,0.050378,0.074718,17057000.0,0.067794,0.0,-0.02434,0.2456,0.118172,0 to 1 okay
