ticker,status,cik,company_title,output_path
A,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_A.json
AACB,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACB.json
AACBR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACBR.json
AACBU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACBU.json
AACG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACG.json
AACIU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACIU.json
AACOU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACOU.json
AAL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAL.json
AAME,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAME.json
AAMI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAMI.json
AAOI,fetched,1158114,"APPLIED OPTOELECTRONICS, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAOI.json
AAON,fetched,824142,"AAON, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAON.json
AAP,fetched,1158449,ADVANCE AUTO PARTS INC,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAP.json
AAPG,fetched,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAPG.json
AAPL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAPL.json
AARD,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AARD.json
AAT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAT.json
ABAT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABAT.json
ABBV,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABBV.json
ABCB,fetched,351569,Ameris Bancorp,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABCB.json
ABCL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABCL.json
ABEO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABEO.json
ABG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABG.json
ABLV,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABLV.json
ABLVW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABLVW.json
ABM,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABM.json
ABNB,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABNB.json
ABOS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABOS.json
ABR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABR.json
ABSI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABSI.json
ABT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABT.json
ABTC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABTC.json
ABTS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABTS.json
ABUS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABUS.json
ABVC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABVC.json
ABVE,http_404,1979484,Above Food Ingredients Inc.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABVE.json
ABVEW,http_404,1979484,Above Food Ingredients Inc.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABVEW.json
ABVX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABVX.json
ABX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ABX.json
ACA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACA.json
ACAAU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACAAU.json
ACAD,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACAD.json
ACB,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACB.json
ACCL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACCL.json
ACCO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACCO.json
ACDC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACDC.json
ACEL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACEL.json
ACET,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACET.json
ACFN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACFN.json
ACGL,fetched,947484,ARCH CAPITAL GROUP LTD.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACGL.json
ACGLN,fetched,947484,ARCH CAPITAL GROUP LTD.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACGLN.json
ACGLO,fetched,947484,ARCH CAPITAL GROUP LTD.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACGLO.json
ACH,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACH.json
ACHC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACHC.json
ACHR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACHR.json
ACHV,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACHV.json
ACIC,fetched,1401521,AMERICAN COASTAL INSURANCE Corp,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACIC.json
ACIU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACIU.json
ACIW,fetched,935036,"ACI WORLDWIDE, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACIW.json
ACLS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACLS.json
ACLX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACLX.json
ACMR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACMR.json
ACN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACN.json
ACNB,fetched,715579,ACNB CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACNB.json
ACNT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACNT.json
ACOG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACOG.json
ACON,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACON.json
ACONW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACONW.json
ACR,fetched,1332551,ACRES Commercial Realty Corp.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACR.json
ACRE,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACRE.json
ACRS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACRS.json
ACRV,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACRV.json
ACT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACT.json
ACTG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACTG.json
ACTU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACTU.json
ACU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACU.json
ACVA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACVA.json
ACXP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ACXP.json
ADAC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAC.json
ADACU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADACU.json
ADACW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADACW.json
ADAG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAG.json
ADAM,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAM.json
ADAMG,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMG.json
ADAMH,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMH.json
ADAMI,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMI.json
ADAML,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAML.json
ADAMM,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMM.json
ADAMN,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMN.json
ADAMO,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMO.json
ADAMZ,fetched,1273685,"ADAMAS TRUST, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADAMZ.json
ADBE,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADBE.json
ADCT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADCT.json
ADEA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADEA.json
ADGM,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADGM.json
ADI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADI.json
ADIL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADIL.json
ADM,fetched,7084,Archer-Daniels-Midland Co,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADM.json
ADMA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADMA.json
ADNT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADNT.json
ADP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADP.json
ADPT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADPT.json
ADSE,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADSE.json
ADSEW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADSEW.json
ADSK,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADSK.json
ADTN,fetched,926282,"ADTRAN Holdings, Inc.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADTN.json
ADTX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADTX.json
ADUR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADUR.json
ADUS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADUS.json
ADV,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADV.json
ADVB,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADVB.json
ADXN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADXN.json
AEAQ,fetched,2083689,Activate Energy Acquisition Corp.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEAQ.json
AEAQU,fetched,2083689,Activate Energy Acquisition Corp.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEAQU.json
AEBI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEBI.json
AEC,fetched,1519469,ANFIELD ENERGY INC.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEC.json
AEE,fetched,1002910,AMEREN CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEE.json
AEHL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEHL.json
AEHR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEHR.json
AEI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEI.json
AEIS,fetched,927003,ADVANCED ENERGY INDUSTRIES INC,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEIS.json
AEMD,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEMD.json
AENT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AENT.json
AENTW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AENTW.json
AEO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEO.json
AEP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEP.json
AERT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AERT.json
AERTW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AERTW.json
AES,fetched,874761,AES CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AES.json
AESI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AESI.json
AEVA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEVA.json
