ticker,status,cik,company_title,output_path
A,fetched,1090872,"AGILENT TECHNOLOGIES, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_A.json
AACB,fetched,2034334,Artius II Acquisition Inc.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACB.json
AACBR,fetched,2034334,Artius II Acquisition Inc.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACBR.json
AACBU,fetched,2034334,Artius II Acquisition Inc.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACBU.json
AACG,fetched,1420529,ATA Creativity Global,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACG.json
AACIU,fetched,2092897,Armada Acquisition Corp. III,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACIU.json
AACOU,fetched,2099906,Abony Acquisition Corp. I,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AACOU.json
AAL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAL.json
AAME,fetched,8177,ATLANTIC AMERICAN CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAME.json
AAMI,fetched,1748824,Acadian Asset Management Inc.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AAMI.json
