quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason
2024Q3,A,1090872,0001090872-24-000024,2024-08-21,a-20240821.htm,exhibit991-q324pressrelease.htm,,5275,23681,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,AAL,6201,0000006201-24-000047,2024-07-25,aal-20240725.htm,a8kerexhibit991q2-24.htm;a8kirexhibit993q2-24.htm;earningspresentation.htm,,4685,60847,0,21,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included
2024Q3,AAMI,1748824,0001748824-24-000035,2024-08-01,bsig-20240801.htm,bsigearningspresentation.htm,,3681,51114,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,AAOI,1158114,0001683168-24-005295,2024-08-06,appliedopto_8k.htm,aaoi_ex9901.htm,,3396,18967,0,20,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,AAON,824142,0000824142-24-000185,2024-08-01,aaon-20240730.htm,aaonq22024pressreleaseexs.htm,,10328,16358,0,7,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,AAP,1158449,0001158449-24-000192,2024-08-22,aap-20240822.htm,aap_exhibit991xq2x2024.htm,,3605,20771,0,11,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,AAPL,320193,0000320193-24-000080,2024-08-01,aapl-20240801.htm,a8-kex991q3202406292024.htm,,4193,10400,0,3,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,AAT,1500217,0001500217-24-000043,2024-07-30,a2q24supplementalng.htm,a2q24earningsreleaseng.htm,,95247,30180,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ABBV,1551152,0001551152-24-000024,2024-07-03;2024-07-25,abbv-20240703.htm,abbv-20240630nonxgaapxex991.htm;abbv-20240630xexhibit991.htm,,7236,930,0,1,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:error_HTTPError,False,earnings_exhibit_text_too_short
2024Q3,ABCL,1703057,0001628280-24-035229,2024-08-06,abcl-20240806.htm,q22024earningspressrelease.htm;q2248kearningsdeckfinal.htm,,3897,22912,0,5,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,ABEO,318306,0001493152-24-031146,2024-08-12,form8-k.htm,ex99-1.htm,,3752,11904,0,15,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ABG,1144980,0001144980-24-000127,2024-08-02,abg-20240802.htm,a2024q2ex991.htm,,3494,32840,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ABM,771497,0000950170-24-104226,2024-09-06,abm-20240906.htm,abm-ex99_1.htm,,3339,32676,0,15,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ABNB,1559720,0001193125-24-194849,2024-08-06,d831385d8k.htm,d831385dex991.htm,,3907,53078,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ABSI,1672688,0001628280-24-037183,2024-08-14,absc-20240814.htm,exhibit991-2024q210xqpr.htm;generalcorporatepresenta.htm,,3728,59119,0,2,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:fetched,True,included
2024Q3,ABTC,1755953,0001213900-24-069074,2024-08-14,ea0211251-8k_gryphon.htm,ea021125101ex99-1_gryphon.htm,,3783,19809,0,22,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ABX,1814287,0001814287-24-000047,2024-07-18;2024-08-12,abl-20240718.htm,exhibit991_q22024xjuly2024.htm;exhibit991ablpressrelease0.htm,,5465,9110,0,1,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:error_HTTPError,True,included
2024Q3,ACA,1739445,0001739445-24-000111,2024-08-01,aca-20240801.htm,exh991earningsrelease63020.htm,,13994,32627,0,30,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ACAD,1070494,0000950170-24-091826,2024-08-06,acad-20240806.htm,acad-ex99_1.htm,,3506,14545,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,ACCO,712034,0000950170-24-089332,2024-08-01,acco-20240801.htm,acco-ex99_1.htm,,3583,35219,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
