quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason,revenue_filter_keep_under_10b,revenue_bucket,revenue_value_usd,revenue_value_millions,revenue_filter_reason,revenue_fact_name_bucketed,revenue_filed_bucketed,revenue_form_bucketed,revenue_period_end_bucketed,mandatory_index_constituent,mandatory_indexes,mandatory_index_name,pipeline_status,pipeline_missing_reason
2024Q3,A,1090872,0001090872-24-000024,2024-08-21,a-20240821.htm,exhibit991-q324pressrelease.htm,,5275,23681,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,3473000000,3473.0,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-03,10-Q,2023-04-30,True,SPY,Agilent Technologies,doc_quality_passed,
2024Q3,AAL,6201,0000006201-24-000047,2024-07-25,aal-20240725.htm,a8kerexhibit991q2-24.htm;a8kirexhibit993q2-24.htm;earningspresentation.htm,,4685,60847,0,21,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included,False,$10B-$50B,12189000000,12189.0,remove_revenue_10b_plus,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,AAP,1158449,0001158449-24-000192,2024-08-22,aap-20240822.htm,aap_exhibit991xq2x2024.htm,,3605,20771,0,11,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,3417594000,3417.594,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-30,10-Q,2023-04-22,False,,,doc_quality_passed,
2024Q3,AAPL,320193,0000320193-24-000080,2024-08-01,aapl-20240801.htm,a8-kex991q3202406292024.htm,,4193,10400,0,3,has_tables,primary_8k:cached;exhibit_1:cached,True,included,False,>$50B,211990000000,211990.0,remove_revenue_10b_plus,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-04-01,True,DOW;QQQ;SPY,Apple Inc.,doc_quality_passed,
2024Q3,AAT,1500217,0001500217-24-000043,2024-07-30,a2q24supplementalng.htm,a2q24earningsreleaseng.htm,,95247,30180,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,107754000,107.754,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ABG,1144980,0001144980-24-000127,2024-08-02,abg-20240802.htm,a2024q2ex991.htm,,3494,32840,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,3582300000,3582.3,keep_under_10b,Revenues,2024-04-26,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ABM,771497,0000950170-24-104226,2024-09-06,abm-20240906.htm,abm-ex99_1.htm,,3339,32676,0,15,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,3975300000,3975.3,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-06,10-Q,2023-04-30,False,,,doc_quality_passed,
2024Q3,ABNB,1559720,0001193125-24-194849,2024-08-06,d831385d8k.htm,d831385dex991.htm,,3907,53078,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached,True,included,True,$1B-$2B,1818000000,1818.0,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,True,QQQ;SPY,Airbnb,doc_quality_passed,
2024Q3,ACA,1739445,0001739445-24-000111,2024-08-01,aca-20240801.htm,exh991earningsrelease63020.htm,,13994,32627,0,30,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,549200000,549.2,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACAD,1070494,0000950170-24-091826,2024-08-06,acad-20240806.htm,acad-ex99_1.htm,,3506,14545,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,118462000,118.462,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,False,,,doc_quality_passed,
