quarter,ticker,cik,metadata_status,has_10q_10k_before_or_in_qtr,latest_10q_10k_form,latest_10q_10k_filing_date,latest_10q_10k_accession,item_202_8k_count_in_qtr,item_202_8k_with_ex99_count,item_202_8k_dates,item_202_8k_accessions,ex99_1_documents,passes_metadata_gate,metadata_gate_reason
2024Q3,A,1090872,ok,True,10-Q,2024-08-30,0001090872-24-000033,1,1,2024-08-21,0001090872-24-000024,exhibit991-q324pressrelease.htm,True,included
2024Q3,AAL,6201,ok,True,10-Q,2024-07-25,0000006201-24-000048,1,1,2024-07-25,0000006201-24-000047,a8kerexhibit991q2-24.htm;a8kirexhibit993q2-24.htm;earningspresentation.htm,True,included
2024Q3,AAMI,1748824,ok,True,10-Q,2024-08-08,0001748824-24-000037,1,1,2024-08-01,0001748824-24-000035,bsigearningspresentation.htm,True,included
2024Q3,AAOI,1158114,ok,True,10-Q,2024-08-06,0001437749-24-024888,1,1,2024-08-06,0001683168-24-005295,aaoi_ex9901.htm,True,included
2024Q3,AAON,824142,ok,True,10-Q,2024-08-01,0000824142-24-000187,1,1,2024-08-01,0000824142-24-000185,aaonq22024pressreleaseexs.htm,True,included
2024Q3,AAP,1158449,ok,True,10-Q,2024-08-22,0001158449-24-000195,1,1,2024-08-22,0001158449-24-000192,aap_exhibit991xq2x2024.htm,True,included
2024Q3,AAPL,320193,ok,True,10-Q,2024-08-02,0000320193-24-000081,1,1,2024-08-01,0000320193-24-000080,a8-kex991q3202406292024.htm,True,included
2024Q3,AAT,1500217,ok,True,10-Q,2024-08-02,0001500217-24-000047,1,1,2024-07-30,0001500217-24-000043,a2q24earningsreleaseng.htm,True,included
2024Q3,ABBV,1551152,ok,True,10-Q,2024-08-07,0001551152-24-000031,2,2,2024-07-03;2024-07-25,0001551152-24-000024;0001551152-24-000026,abbv-20240630nonxgaapxex991.htm;abbv-20240630xexhibit991.htm,True,included
2024Q3,ABCL,1703057,ok,True,10-Q,2024-08-06,0001628280-24-035248,1,1,2024-08-06,0001628280-24-035229,q22024earningspressrelease.htm;q2248kearningsdeckfinal.htm,True,included
2024Q3,ABEO,318306,ok,True,10-Q,2024-08-12,0001493152-24-031150,1,1,2024-08-12,0001493152-24-031146,ex99-1.htm,True,included
2024Q3,ABG,1144980,ok,True,10-Q,2024-08-09,0001144980-24-000130,1,1,2024-08-02,0001144980-24-000127,a2024q2ex991.htm,True,included
2024Q3,ABM,771497,ok,True,10-Q,2024-09-06,0000771497-24-000017,1,1,2024-09-06,0000950170-24-104226,abm-ex99_1.htm,True,included
2024Q3,ABNB,1559720,ok,True,10-Q,2024-08-06,0001559720-24-000024,1,1,2024-08-06,0001193125-24-194849,d831385dex991.htm,True,included
