quarter,ticker,cik,metadata_status,has_10q_10k_before_or_in_qtr,latest_10q_10k_form,latest_10q_10k_filing_date,latest_10q_10k_accession,item_202_8k_count_in_qtr,item_202_8k_with_ex99_count,item_202_8k_dates,item_202_8k_accessions,ex99_1_documents,passes_metadata_gate,metadata_gate_reason
2024Q3,A,1090872,ok,True,10-Q,2024-08-30,0001090872-24-000033,1,0,2024-08-21,0001090872-24-000024,,False,missing_ex99_1_for_item_202
2024Q3,AAL,6201,ok,True,10-Q,2024-07-25,0000006201-24-000048,1,1,2024-07-25,0000006201-24-000047,g410912ex991pg01ba26a.jpg,True,included
2024Q3,AAMI,1748824,ok,True,10-Q,2024-08-08,0001748824-24-000037,1,0,2024-08-01,0001748824-24-000035,,False,missing_ex99_1_for_item_202
2024Q3,AAOI,1158114,ok,True,10-Q,2024-08-06,0001437749-24-024888,1,1,2024-08-06,0001683168-24-005295,aaoi_ex9901.htm,True,included
2024Q3,AAON,824142,ok,True,10-Q,2024-08-01,0000824142-24-000187,1,0,2024-08-01,0000824142-24-000185,,False,missing_ex99_1_for_item_202
2024Q3,AAP,1158449,ok,True,10-Q,2024-08-22,0001158449-24-000195,1,0,2024-08-22,0001158449-24-000192,,False,missing_ex99_1_for_item_202
2024Q3,AAPL,320193,ok,True,10-Q,2024-08-02,0000320193-24-000081,1,1,2024-08-01,0000320193-24-000080,a8-kex991q3202406292024.htm,True,included
2024Q3,AAT,1500217,ok,True,10-Q,2024-08-02,0001500217-24-000047,1,0,2024-07-30,0001500217-24-000043,,False,missing_ex99_1_for_item_202
2024Q3,ABBV,1551152,ok,True,10-Q,2024-08-07,0001551152-24-000031,2,1,2024-07-03;2024-07-25,0001551152-24-000024;0001551152-24-000026,abbv-20240630nonxgaapxex991.htm,True,included
2024Q3,ABCL,1703057,ok,True,10-Q,2024-08-06,0001628280-24-035248,1,0,2024-08-06,0001628280-24-035229,,False,missing_ex99_1_for_item_202
2024Q3,ABEO,318306,ok,True,10-Q,2024-08-12,0001493152-24-031150,1,1,2024-08-12,0001493152-24-031146,ex99-1.htm;ex99-1_001.jpg,True,included
2024Q3,ABG,1144980,ok,True,10-Q,2024-08-09,0001144980-24-000130,1,1,2024-08-02,0001144980-24-000127,a2024q2ex991.htm,True,included
2024Q3,ABM,771497,ok,True,10-Q,2024-09-06,0000771497-24-000017,1,1,2024-09-06,0000950170-24-104226,abm-ex99_1.htm,True,included
2024Q3,ABNB,1559720,ok,True,10-Q,2024-08-06,0001559720-24-000024,1,1,2024-08-06,0001193125-24-194849,d831385dex991.htm,True,included
2024Q3,ABSI,1672688,ok,True,10-Q,2024-08-14,0001628280-24-037193,1,0,2024-08-14,0001628280-24-037183,,False,missing_ex99_1_for_item_202
2024Q3,ABT,1800,ok,True,10-Q,2024-07-31,0001628280-24-033740,1,0,2024-07-18,0001628280-24-032182,,False,missing_ex99_1_for_item_202
2024Q3,ABTC,1755953,ok,True,10-Q,2024-08-14,0001213900-24-068996,1,1,2024-08-14,0001213900-24-069074,ea021125101ex99-1_gryphon.htm,True,included
2024Q3,ABUS,1447028,ok,True,10-Q,2024-08-08,0001447028-24-000072,1,0,2024-08-01,0001171843-24-004324,,False,missing_ex99_1_for_item_202
2024Q3,ABX,1814287,ok,True,10-Q,2024-08-12,0001814287-24-000051,2,0,2024-07-18;2024-08-12,0001814287-24-000047;0001814287-24-000050,,False,missing_ex99_1_for_item_202
2024Q3,ACA,1739445,ok,True,10-Q,2024-08-02,0001739445-24-000114,1,0,2024-08-01,0001739445-24-000111,,False,missing_ex99_1_for_item_202
2024Q3,ACAD,1070494,ok,True,10-Q,2024-08-07,0000950170-24-092163,1,1,2024-08-06,0000950170-24-091826,acad-ex99_1.htm,True,included
2024Q3,ACCO,712034,ok,True,10-Q,2024-08-02,0000950170-24-089733,1,1,2024-08-01,0000950170-24-089332,acco-ex99_1.htm,True,included
2024Q3,ACDC,0001881487,ok,True,10-Q,2024-08-09,0000950170-24-094812,1,1,2024-08-08,0001104659-24-086919,tm2421111d1_ex99-1.htm;tm2421111d1_ex99-1img001.jpg,True,included
2024Q3,ACEL,1698991,ok,True,10-Q,2024-07-30,0001698991-24-000037,1,0,2024-07-30,0001698991-24-000036,,False,missing_ex99_1_for_item_202
2024Q3,ACGL,947484,ok,True,10-Q,2024-08-06,0000947484-24-000105,1,1,2024-07-30,0000947484-24-000091,ex-991release63024.htm;ex-992supplement63024.htm,True,included
