quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons
2023Q3,A,1090872,ok,1,2023-08-15,0001090872-23-000013,a-20230815.htm,exhibit991-q323pressrelease.htm,1,10-Q,2023-08-31,0001090872-23-000015,a-20230731.htm,1,1,True,True,True,,ready
2023Q3,AAP,1158449,ok,1,2023-08-23,0001158449-23-000201,aap-20230823.htm,aap_exhibit991xq2x20231.htm,1,10-Q,2023-08-23,0001158449-23-000204,aap-20230715.htm,1,1,True,True,True,,ready
2023Q3,AAT,1500217,ok,1,2023-07-25,0001500217-23-000061,aat-20230720.htm,a2q23earningsreleaseng.htm,1,10-Q,2023-07-28,0001500217-23-000063,aat-20230630.htm,1,1,True,True,True,,ready
2023Q3,ABG,1144980,ok,1,2023-07-25,0001144980-23-000112,abg-20230725.htm,a2023q2ex991.htm,1,10-Q,2023-07-28,0001144980-23-000115,abg-20230630.htm,1,1,True,True,True,,ready
2023Q3,ABM,771497,ok,1,2023-09-07,0000950170-23-046875,abm-20230907.htm,abm-ex99_1.htm,1,10-Q,2023-09-07,0000771497-23-000020,abm-20230731.htm,1,1,True,True,True,,ready
2023Q3,ABNB,1559720,ok,1,2023-08-03,0001193125-23-202832,d446942d8k.htm,d446942dex991.htm,1,10-Q,2023-08-03,0001559720-23-000015,abnb-20230630.htm,1,1,True,True,True,,ready
2023Q3,ACA,1739445,ok,1,2023-08-03,0001739445-23-000126,aca-20230803.htm,exh991earningsrelease06302.htm,1,10-Q,2023-08-04,0001739445-23-000130,aca-20230630.htm,1,1,True,True,True,,ready
2023Q3,ACAD,1070494,ok,2,2023-07-18;2023-08-02,0001193125-23-188839;0000950170-23-037216,d533087d8k.htm;acad-20230802.htm,d533087dex991.htm;acad-ex99_1.htm,2,10-Q,2023-08-03,0000950170-23-037458,acad-20230630.htm,2,2,True,True,True,,ready
2023Q3,ACCO,712034,ok,1,2023-08-08,0000950170-23-039942,acco-20230804.htm,acco-ex99_1.htm;acco-ex99_2.htm,2,10-Q,2023-08-09,0000950170-23-040293,acco-20230630.htm,1,1,True,True,True,earnings_exhibit:exhibit_not_earnings_like,ready
2023Q3,ACDC,0001881487,ok,1,2023-08-10,0000950170-23-040972,acdc-20230810.htm,acdc-ex99_1.htm,1,10-Q,2023-08-11,0000950170-23-041933,acdc-20230630.htm,1,1,True,True,True,,ready
2023Q3,ACGL,947484,ok,1,2023-07-26,0000947484-23-000072,acgl-20230726.htm,ex-991release63023.htm;ex-992supplement63023.htm,2,10-Q,2023-08-02,0000947484-23-000078,acgl-20230630.htm,1,2,True,True,True,,ready
2023Q3,ACH,75252,ok,1,2023-08-04,0000075252-23-000042,omi-20230804.htm,a2q238kprearnings.htm;omi_2q23supplementalearn.htm,2,10-Q,2023-08-04,0000075252-23-000047,omi-20230630.htm,1,2,True,True,True,,ready
2023Q3,ACIW,935036,ok,1,2023-08-03,0000935036-23-000029,aciw-20230803.htm,aciw-20230803_ex992.htm,1,10-Q,2023-08-03,0000935036-23-000031,aciw-20230630.htm,1,1,True,True,True,,ready
2023Q3,ACLS,1113232,ok,1,2023-08-02,0001104659-23-086813,tm2322423d1_8k.htm,tm2322423d1_ex99-1.htm,1,10-Q,2023-08-03,0001558370-23-013134,acls-20230630x10q.htm,1,1,True,True,True,,ready
2023Q3,ACT,1823529,ok,1,2023-08-01,0001823529-23-000154,act-20230801.htm,a2q23earningsrelease.htm,1,10-Q,2023-08-04,0001823529-23-000158,act-20230630.htm,1,1,True,True,True,,ready
2023Q3,ACVA,1637873,ok,1,2023-08-07,0000950170-23-039065,acva-20230807.htm,acva-ex99_1.htm,1,10-Q,2023-08-07,0000950170-23-039154,acva-20230630.htm,1,1,True,True,True,,ready
