quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons,elapsed_seconds
2025Q3,A,1090872,ok,1,2025-08-27,0001090872-25-000034,a-20250827.htm,exhibit991-q325pressrelease.htm,1,10-Q,2025-08-29,0001090872-25-000036,a-20250731.htm,1,1,True,True,True,,ready,2.63
2025Q3,AAP,1158449,ok,2,2025-07-24;2025-08-14,0001193125-25-163855;0001158449-25-000268,d872350d8k.htm;aap-20250812.htm,d872350dex991.htm;aapexhibit991_q2x2025.htm,2,10-Q,2025-08-14,0001158449-25-000272,aap-20250712.htm,2,2,True,True,True,,ready,3.61
2025Q3,AAT,1500217,ok,1,2025-07-29,0001500217-25-000054,aat-20250729.htm,a2q25earningsrelease.htm,1,10-Q,2025-08-01,0001500217-25-000058,aat-20250630.htm,1,1,True,True,True,,ready,2.52
2025Q3,ABG,1144980,ok,1,2025-07-29,0001144980-25-000122,abg-20250729.htm,a2025q2ex991.htm,1,10-Q,2025-07-30,0001144980-25-000125,abg-20250630.htm,1,1,True,True,True,,ready,2.65
2025Q3,ABM,771497,ok,1,2025-09-05,0000771497-25-000020,abm-20250905.htm,abm-ex99_1.htm,1,10-Q,2025-09-05,0000771497-25-000022,abm-20250731.htm,1,1,True,True,True,,ready,2.47
2025Q3,ABNB,1559720,ok,1,2025-08-06,0001193125-25-174438,d17531d8k.htm,d17531dex991.htm,1,10-Q,2025-08-06,0001559720-25-000025,abnb-20250630.htm,1,1,True,True,True,,ready,2.11
2025Q3,ACA,1739445,ok,1,2025-08-07,0001739445-25-000113,aca-20250807.htm,exh991earningsrelease06302.htm,1,10-Q,2025-08-08,0001739445-25-000115,aca-20250630.htm,1,1,True,True,True,,ready,2.61
2025Q3,ACAD,1070494,ok,1,2025-08-06,0000950170-25-104092,acad-20250806.htm,acad-ex99_1.htm,1,10-Q,2025-08-07,0000950170-25-104295,acad-20250630.htm,1,1,True,True,True,,ready,2.82
2025Q3,ACCO,712034,ok,1,2025-07-31,0000950170-25-100909,acco-20250729.htm,acco-ex99_1.htm,1,10-Q,2025-08-01,0000950170-25-101292,acco-20250630.htm,1,1,True,True,True,,ready,3.25
2025Q3,ACDC,0001881487,ok,1,2025-08-07,0001104659-25-074901,tm2522742d1_8k.htm,tm2522742d1_ex99-1.htm,1,10-Q,2025-08-07,0000950170-25-104997,acdc-20250630.htm,1,1,True,True,True,,ready,3.13
2025Q3,ACGL,947484,ok,1,2025-07-29,0000947484-25-000059,acgl-20250729.htm,ex-991release63025.htm;ex-992supplement63025.htm,2,10-Q,2025-08-05,0000947484-25-000066,acgl-20250630.htm,1,2,True,True,True,,ready,4.09
2025Q3,ACH,75252,ok,1,2025-08-11,0001193125-25-177426,d47157d8k.htm,d47157dex991.htm;d47157dex992.htm,2,10-Q,2025-08-11,0001558370-25-011059,omi-20250630x10q.htm,1,2,True,True,True,,ready,3.48
2025Q3,ACIW,935036,ok,1,2025-08-07,0000935036-25-000017,aciw-20250807.htm,aciw-20250807_ex992.htm,1,10-Q,2025-08-07,0000935036-25-000019,aciw-20250630.htm,1,1,True,True,True,,ready,2.56
