ticker,cik,doc_type,accession,document,status,text_len,table_count,html_path,text_path
A,1090872,primary_8k,0001090872-21-000022,a-20211122.htm,fetched,5291,7,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/A_000109087221000022_a-20211122.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/A_000109087221000022_a-20211122.htm.txt
A,1090872,earnings_exhibit,0001090872-21-000022,exhibit991-q421pressrelease.htm,fetched,27540,14,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/A_000109087221000022_exhibit991-q421pressrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/A_000109087221000022_exhibit991-q421pressrelease.htm.txt
A,1090872,periodic_10q_10k,0001090872-21-000027,a-10312021xexx211.htm,fetched,546,1,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/A_000109087221000027_a-10312021xexx211.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/A_000109087221000027_a-10312021xexx211.htm.txt
AAP,1158449,primary_8k,0001158449-21-000208,aap-20211109.htm,fetched,9481,8,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAP_000115844921000208_aap-20211109.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAP_000115844921000208_aap-20211109.htm.txt
AAP,1158449,earnings_exhibit,0001158449-21-000208,aap_exhibit991xq3x2021.htm,fetched,28922,11,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAP_000115844921000208_aap_exhibit991xq3x2021.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAP_000115844921000208_aap_exhibit991xq3x2021.htm.txt
AAP,1158449,periodic_10q_10k,0001158449-21-000213,aap-20211009.htm,fetched,76672,32,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAP_000115844921000213_aap-20211009.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAP_000115844921000213_aap-20211009.htm.txt
AAT,1500217,primary_8k,0001500217-21-000133,a3q21earningsreleaseng.htm,fetched,27638,8,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021721000133_a3q21earningsreleaseng.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021721000133_a3q21earningsreleaseng.htm.txt
AAT,1500217,earnings_exhibit,0001500217-21-000133,a3q21supplementalng.htm,fetched,90386,133,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021721000133_a3q21supplementalng.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021721000133_a3q21supplementalng.htm.txt
AAT,1500217,earnings_exhibit,0001500217-21-000133,aat-20211026.htm,fetched,4795,5,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021721000133_aat-20211026.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021721000133_aat-20211026.htm.txt
AAT,1500217,periodic_10q_10k,0001500217-21-000136,aat-20210930.htm,fetched,247045,66,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021721000136_aat-20210930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021721000136_aat-20210930.htm.txt
ABG,1144980,primary_8k,0001144980-21-000133,a2021q3ex991.htm,fetched,34024,14,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ABG_000114498021000133_a2021q3ex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABG_000114498021000133_a2021q3ex991.htm.txt
ABG,1144980,earnings_exhibit,0001144980-21-000133,abg-20211026.htm,fetched,3508,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ABG_000114498021000133_abg-20211026.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABG_000114498021000133_abg-20211026.htm.txt
ABG,1144980,periodic_10q_10k,0001144980-21-000138,abg-20210930.htm,fetched,186533,61,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ABG_000114498021000138_abg-20210930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABG_000114498021000138_abg-20210930.htm.txt
