ticker,cik,doc_type,accession,document,status,text_len,table_count,html_path,text_path
A,1090872,primary_8k,0001090872-22-000014,a-20220816.htm,cached,5277,7,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/A_000109087222000014_a-20220816.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/A_000109087222000014_a-20220816.htm.txt
A,1090872,earnings_exhibit,0001090872-22-000014,exhibit991-q322pressrelease.htm,cached,23996,9,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/A_000109087222000014_exhibit991-q322pressrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/A_000109087222000014_exhibit991-q322pressrelease.htm.txt
A,1090872,periodic_10q_10k,0001090872-22-000017,a-20220731.htm,cached,261569,53,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/A_000109087222000017_a-20220731.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/A_000109087222000017_a-20220731.htm.txt
AAP,1158449,primary_8k,0001158449-22-000229,aap-20220823.htm,cached,3597,8,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAP_000115844922000229_aap-20220823.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAP_000115844922000229_aap-20220823.htm.txt
AAP,1158449,earnings_exhibit,0001158449-22-000229,aap_exhibit991xq2x2022.htm,cached,29238,13,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAP_000115844922000229_aap_exhibit991xq2x2022.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAP_000115844922000229_aap_exhibit991xq2x2022.htm.txt
AAP,1158449,periodic_10q_10k,0001158449-22-000235,aap-20220716.htm,cached,74996,29,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAP_000115844922000235_aap-20220716.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAP_000115844922000235_aap-20220716.htm.txt
AAT,1500217,primary_8k,0001500217-22-000082,aat-20220726.htm,cached,4761,5,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021722000082_aat-20220726.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021722000082_aat-20220726.htm.txt
AAT,1500217,earnings_exhibit,0001500217-22-000082,a2q22earningsreleaseng.htm,cached,26232,7,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021722000082_a2q22earningsreleaseng.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021722000082_a2q22earningsreleaseng.htm.txt
AAT,1500217,periodic_10q_10k,0001500217-22-000084,aat-20220630.htm,cached,235285,66,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/AAT_000150021722000084_aat-20220630.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAT_000150021722000084_aat-20220630.htm.txt
ABG,1144980,primary_8k,0001144980-22-000139,abg-20220728.htm,cached,3490,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ABG_000114498022000139_abg-20220728.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABG_000114498022000139_abg-20220728.htm.txt
ABG,1144980,earnings_exhibit,0001144980-22-000139,a2022q2ex991.htm,cached,32077,15,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ABG_000114498022000139_a2022q2ex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABG_000114498022000139_a2022q2ex991.htm.txt
ABG,1144980,periodic_10q_10k,0001144980-22-000142,abg-20220630.htm,cached,226824,79,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ABG_000114498022000142_abg-20220630.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABG_000114498022000142_abg-20220630.htm.txt
