tier,ticker,hit_count,quarters,latest_quarter,latest_entry_open,latest_revenue_bucket,latest_pre_llm_bucket,latest_pre_llm_score,avg_return_90d_pct,median_return_90d_pct,max_return_90d_pct,win30_90d_count,avg_return_30d_pct,avg_score
Tier 2,ACCO,18,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,3.700000,$1B-$2B,good,4,-1.7715,-1.3861,30.7856,1,-2.0598,0.2222
Tier 2,ACDC,11,2023Q2;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,6.890000,$1B-$2B,mixed,1,13.0366,18.8796,43.8073,2,7.3819,2.1818
Tier 2,ACH,5,2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,2.180000,$1B-$2B,mixed,2,-29.1661,-23.9675,-10.4965,0,-2.9347,1.8
Tier 2,ACVA,5,2022Q2;2022Q3;2022Q4;2025Q4;2026Q1,2026Q1,5.580000,$100M-$500M,weak,-3,12.8094,9.317,44.9721,1,9.7909,0.8
Tier 2,ADEA,6,2021Q4;2022Q1;2022Q2;2022Q3;2023Q2;2023Q4,2023Q4,8.960000,$100M-$500M,good,4,25.9455,21.7836,63.9945,3,10.2277,5.0
Tier 2,ADTN,10,2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,9.880000,$500M-$1B,good,5,18.6774,15.1997,69.4332,3,1.4816,0.9
Tier 2,AHCO,6,2023Q4;2024Q2;2024Q3;2024Q4;2025Q2;2026Q1,2026Q1,8.820000,$2B-$10B,good,4,3.2156,4.0816,14.8864,0,14.4941,3.6667
Tier 2,AHRT,5,2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,6.330000,$500M-$1B,good,5,-6.775,-2.9804,6.3077,0,-3.4301,4.4
Tier 2,AI,1,2026Q1,2026Q1,7.790000,$100M-$500M,weak,-3,,,,0,0.0,-3.0
Tier 2,AIOT,17,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,4.760000,$100M-$500M,weak,-4,4.7918,3.5326,60.566,3,0.6985,-0.8235
Tier 2,ALTG,7,2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,6.430000,$1B-$2B,good,3,13.4306,9.5532,55.1797,2,-2.3643,0.1429
Tier 2,AMC,10,2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,1.370000,$2B-$10B,weak,-3,-8.932,-17.7258,55.2553,1,-3.368,-3.1
Tier 2,AMCX,7,2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,7.680000,$2B-$10B,strong,6,-0.3204,-0.5157,21.2894,0,1.5793,5.7143
