tier,ticker,hit_count,quarters,latest_quarter,latest_entry_open,latest_revenue_bucket,latest_pre_llm_bucket,latest_pre_llm_score,avg_return_90d_pct,median_return_90d_pct,max_return_90d_pct,win30_90d_count,avg_return_30d_pct,avg_score
Tier 0,AAT,10,2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,18.480000,$100M-$500M,good,4,5.0149,1.7082,34.6751,1,1.2583,4.8
Tier 0,ACAD,16,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4,2025Q4,15.400000,$100M-$500M,mixed,0,3.9096,5.8367,61.6848,1,2.4693,-1.1875
Tier 0,ACCO,18,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,3.700000,$1B-$2B,good,4,-1.7715,-1.3861,30.7856,1,-2.0598,0.2222
Tier 0,ACDC,15,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,6.890000,$1B-$2B,mixed,1,7.9549,11.8316,43.8073,2,4.1181,2.2
Tier 0,ACH,14,2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,2.180000,$1B-$2B,mixed,2,-9.2459,-11.3759,39.1365,1,5.743,2.6429
Tier 0,ACIW,4,2022Q4;2023Q2;2023Q3;2023Q4,2023Q4,23.350000,$500M-$1B,strong,6,15.8047,12.4895,41.6374,1,3.9696,5.75
Tier 0,ACT,4,2022Q1;2022Q2;2022Q3;2023Q2,2023Q2,23.799999,$1B-$2B,mixed,2,7.9111,6.1841,18.4034,0,1.0722,3.75
Tier 0,ACVA,18,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,5.580000,$100M-$500M,weak,-3,-1.8905,-9.4075,46.1149,2,6.9945,-0.3333
Tier 0,ADEA,18,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,20.055000,$100M-$500M,strong,7,9.7438,2.2569,63.9945,4,3.6932,5.5556
Tier 0,ADNT,2,2025Q1;2025Q2,2025Q2,18.040001,$2B-$10B,mixed,2,24.8366,24.8366,78.0545,1,7.9603,2.5
Tier 0,ADTN,18,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,9.880000,$500M-$1B,good,5,6.5667,-0.1915,69.4332,4,-1.0585,1.6111
Tier 0,ADV,1,2026Q1,2026Q1,13.750000,$2B-$10B,good,4,,,,0,71.2727,4.0
Tier 0,AEO,17,2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,20.650000,$2B-$10B,good,5,4.7915,-3.7681,58.6892,4,-0.3717,3.0588
Tier 0,AES,14,2022Q1;2022Q2;2022Q3;2023Q1;2023Q2;2023Q3;2023Q4;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4,2025Q4,17.299999,$2B-$10B,mixed,1,-1.2921,-1.114,30.198,1,1.7805,0.7857
Tier 0,AESI,8,2024Q1;2024Q2;2024Q3;2024Q4;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,11.500000,$500M-$1B,mixed,1,2.471,7.883,19.403,0,3.4559,3.0
Tier 0,AFRM,6,2022Q2;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4,2023Q4,24.969999,$100M-$500M,mixed,2,41.8682,39.6816,78.6544,4,11.8085,-2.5
Tier 0,AHCO,17,2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1,2026Q1,8.820000,$2B-$10B,good,4,0.407,0.2141,50.2703,2,4.266,2.4706
Tier 0,AHR,3,2024Q1;2024Q2;2024Q3,2024Q3,16.360001,$100M-$500M,mixed,0,26.7226,22.4286,56.9071,1,10.994,-0.3333
