quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2024Q3,2024-07-01,A,1090872,"AGILENT TECHNOLOGIES, INC.",$2B-$10B,True,3473000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-06-03,10-Q,2023-04-30,654000000,NetIncomeLoss,USD,2024-06-03,10-Q,2023-04-30,10763000000,Assets,USD,2024-06-03,10-Q,2023-10-31,-407000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-06-03,10-Q,2023-04-30,-181000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-06-03,10-Q,2023-04-30,694000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-06-03,10-Q,2023-04-30,through_ocf,True,,,0.18831,0.199827,3.09905,-0.11719,-0.052116
2024Q3,2024-07-01,AAL,6201,AMERICAN AIRLINES GROUP INC.,$10B-$50B,False,12189000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-04-25,10-Q,2023-03-31,10000000,NetIncomeLoss,USD,2024-04-25,10-Q,2023-03-31,63058000000,Assets,USD,2024-04-25,10-Q,2023-12-31,-539000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-04-25,10-Q,2023-03-31,-2796000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-04-25,10-Q,2023-03-31,3333000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-04-25,10-Q,2023-03-31,through_ocf,True,,,0.00082,0.273443,5.173353,-0.04422,-0.229387
2024Q3,2024-07-01,AAP,1158449,"Advance Auto Parts, Inc.",$2B-$10B,True,3417594000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-05-30,10-Q,2023-04-22,48323000,NetIncomeLoss,USD,2024-05-30,10-Q,2023-04-22,12276326000,Assets,USD,2024-05-30,10-Q,2023-12-30,-425202000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-30,10-Q,2023-04-22,-89671000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-30,10-Q,2023-04-22,-382524000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-30,10-Q,2023-04-22,through_ocf,True,,,0.014139,-0.111928,3.592096,-0.124416,-0.026238
2024Q3,2024-07-01,AAPL,320193,Apple Inc.,>$50B,False,211990000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-05-03,10-Q,2023-04-01,54158000000,NetIncomeLoss,USD,2024-05-03,10-Q,2023-04-01,352583000000,Assets,USD,2024-05-03,10-Q,2023-09-30,-61287000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-03,10-Q,2023-04-01,874000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-03,10-Q,2023-04-01,62565000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-03,10-Q,2023-04-01,through_ocf,True,,,0.255474,0.295132,1.663206,-0.289103,0.004123
2024Q3,2024-07-01,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",$100M-$500M,True,107754000,Revenues,USD,2024-05-03,10-Q,2023-03-31,20666000,ProfitLoss,USD,2024-05-03,10-Q,2023-03-31,2984681000,Assets,USD,2024-05-03,10-Q,2023-12-31,11485000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-03,10-Q,2023-03-31,-25695000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-03,10-Q,2023-03-31,51967000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-03,10-Q,2023-03-31,through_ocf,True,,,0.191789,0.482274,27.699027,0.106585,-0.23846
2024Q3,2024-07-01,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",$2B-$10B,True,3582300000,Revenues,USD,2024-04-26,10-Q,2023-03-31,181400000,NetIncomeLoss,USD,2024-04-26,10-Q,2023-03-31,10159400000,Assets,USD,2024-04-26,10-Q,2023-12-31,-55000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-04-26,10-Q,2023-03-31,-55200000,NetCashProvidedByUsedInInvestingActivities,USD,2024-04-26,10-Q,2023-03-31,171700000,NetCashProvidedByUsedInOperatingActivities,USD,2024-04-26,10-Q,2023-03-31,through_ocf,True,,,0.050638,0.04793,2.835999,-0.015353,-0.015409
2024Q3,2024-07-01,ABM,771497,ABM INDUSTRIES INCORPORATED,$2B-$10B,True,3975300000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-06-06,10-Q,2023-04-30,90400000,NetIncomeLoss,USD,2024-06-06,10-Q,2023-04-30,4933700000,Assets,USD,2024-06-06,10-Q,2023-10-31,62800000,NetCashProvidedByUsedInFinancingActivities,USD,2024-06-06,10-Q,2023-04-30,-22200000,NetCashProvidedByUsedInInvestingActivities,USD,2024-06-06,10-Q,2023-04-30,-45000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-06-06,10-Q,2023-04-30,through_ocf,True,,,0.02274,-0.01132,1.241089,0.015798,-0.005584
2024Q3,2024-07-01,ABNB,1559720,"Airbnb, Inc.",$1B-$2B,True,1818000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-05-08,10-Q,2023-03-31,117000000,NetIncomeLoss,USD,2024-05-08,10-Q,2023-03-31,20645000000,Assets,USD,2024-05-08,10-Q,2023-12-31,2286000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-08,10-Q,2023-03-31,-183000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-08,10-Q,2023-03-31,1587000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-08,10-Q,2023-03-31,through_ocf,True,,,0.064356,0.872937,11.355886,1.257426,-0.10066
2024Q3,2024-07-01,ACA,1739445,"Arcosa, Inc.",$500M-$1B,True,549200000,Revenues,USD,2024-05-03,10-Q,2023-03-31,55700000,NetIncomeLoss,USD,2024-05-03,10-Q,2023-03-31,3577900000,Assets,USD,2024-05-03,10-Q,2023-12-31,-4400000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-03,10-Q,2023-03-31,-34100000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-03,10-Q,2023-03-31,27300000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-03,10-Q,2023-03-31,through_ocf,True,,,0.10142,0.049709,6.514749,-0.008012,-0.06209
2024Q3,2024-07-01,ACAD,1070494,Acadia Pharmaceuticals Inc.,$100M-$500M,True,118462000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-05-09,10-Q,2023-03-31,-43021000,NetIncomeLoss,USD,2024-05-09,10-Q,2023-03-31,748956000,Assets,USD,2024-05-09,10-Q,2023-12-31,1466000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-09,10-Q,2023-03-31,192518000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-09,10-Q,2023-03-31,-17933000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-09,10-Q,2023-03-31,through_ocf,True,,,-0.363163,-0.151382,6.322331,0.012375,1.625146
