quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2025Q2,2025-05-28,A,1090872,"AGILENT TECHNOLOGIES, INC.",$1B-$2B,,1658000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-03-03,10-Q,2024-01-31,348000000,NetIncomeLoss,USD,2025-03-03,10-Q,2024-01-31,11846000000,Assets,USD,2025-03-03,10-Q,2024-10-31,-240000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-03-03,10-Q,2024-01-31,-95000000,NetCashProvidedByUsedInInvestingActivities,USD,2025-03-03,10-Q,2024-01-31,485000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-03-03,10-Q,2024-01-31,through_ocf,True,,,0.209891,0.292521,7.144753,-0.144753,-0.057298
2025Q2,2025-04-29,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",$100M-$500M,,422648000,Revenues,USD,2025-02-12,10-K,2022-12-31,16136000,NetIncomeLoss,USD,2025-02-12,10-K,2023-03-31,2984681000,Assets,USD,2025-02-12,10-K,2023-12-31,-102704000,NetCashProvidedByUsedInFinancingActivities,USD,2025-02-12,10-K,2022-12-31,-166321000,NetCashProvidedByUsedInInvestingActivities,USD,2025-02-12,10-K,2022-12-31,179072000,NetCashProvidedByUsedInOperatingActivities,USD,2025-02-12,10-K,2022-12-31,through_ocf,True,,,0.038178,0.423691,7.06186,-0.243001,-0.393521
2025Q2,2025-04-29,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",>$10B,,15433800000,Revenues,USD,2025-02-26,10-K,2022-12-31,997300000,NetIncomeLoss,USD,2025-02-26,10-K,2022-12-31,8021400000,Assets,USD,2025-02-26,10-K,2022-12-31,-1104300000,NetCashProvidedByUsedInFinancingActivities,USD,2025-02-26,10-K,2022-12-31,464700000,NetCashProvidedByUsedInInvestingActivities,USD,2025-02-26,10-K,2022-12-31,696000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-02-26,10-K,2022-12-31,through_ocf,True,,,0.064618,0.045096,0.519729,-0.071551,0.030109
2025Q2,2025-06-06,ABM,771497,ABM INDUSTRIES INCORPORATED,$2B-$10B,,4087800000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-06-06,10-Q,2024-04-30,88400000,NetIncomeLoss,USD,2025-06-06,10-Q,2024-04-30,5097200000,Assets,USD,2025-06-06,10-Q,2024-10-31,-98000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-06-06,10-Q,2024-04-30,-28600000,NetCashProvidedByUsedInInvestingActivities,USD,2025-06-06,10-Q,2024-04-30,116900000,NetCashProvidedByUsedInOperatingActivities,USD,2025-06-06,10-Q,2024-04-30,through_ocf,True,,,0.021625,0.028597,1.24693,-0.023974,-0.006996
2025Q2,2025-05-01,ABNB,1559720,"Airbnb, Inc.",$2B-$10B,,2142000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-05-01,10-Q,2024-03-31,264000000,NetIncomeLoss,USD,2025-05-01,10-Q,2024-03-31,20959000000,Assets,USD,2025-05-01,10-Q,2024-12-31,2134000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-01,10-Q,2024-03-31,-84000000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-01,10-Q,2024-03-31,1923000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-01,10-Q,2024-03-31,through_ocf,True,,,0.123249,0.897759,9.784781,0.996265,-0.039216
2025Q2,2025-05-06,ACA,1739445,"Arcosa, Inc.",$2B-$10B,,2242800000,Revenues,USD,2025-02-28,10-K,2022-12-31,245800000,NetIncomeLoss,USD,2025-02-28,10-K,2022-12-31,3340600000,Assets,USD,2025-02-28,10-K,2022-12-31,-177500000,NetCashProvidedByUsedInFinancingActivities,USD,2025-02-28,10-K,2022-12-31,90700000,NetCashProvidedByUsedInInvestingActivities,USD,2025-02-28,10-K,2022-12-31,174300000,NetCashProvidedByUsedInOperatingActivities,USD,2025-02-28,10-K,2022-12-31,through_ocf,True,,,0.109595,0.077715,1.489477,-0.079142,0.040441
2025Q2,2025-05-07,ACAD,1070494,Acadia Pharmaceuticals Inc.,$500M-$1B,,517235000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-02-27,10-K,2022-12-31,-215975000,NetIncomeLoss,USD,2025-02-27,10-K,2022-12-31,748956000,Assets,USD,2025-02-27,10-K,2023-12-31,8199000,NetCashProvidedByUsedInFinancingActivities,USD,2025-02-27,10-K,2022-12-31,73241000,NetCashProvidedByUsedInInvestingActivities,USD,2025-02-27,10-K,2022-12-31,-114035000,NetCashProvidedByUsedInOperatingActivities,USD,2025-02-27,10-K,2022-12-31,through_ocf,True,,,-0.417557,-0.22047,1.447999,0.015852,0.141601
2025Q2,2025-05-01,ACCO,712034,ACCO Brands Corporation,$1B-$2B,,1947600000,Revenues,USD,2025-02-21,10-K,2022-12-31,-13200000,NetIncomeLoss,USD,2025-02-21,10-K,2022-12-31,2644800000,Assets,USD,2025-02-21,10-K,2023-12-31,-48300000,NetCashProvidedByUsedInFinancingActivities,USD,2025-02-21,10-K,2022-12-31,-9300000,NetCashProvidedByUsedInInvestingActivities,USD,2025-02-21,10-K,2022-12-31,77600000,NetCashProvidedByUsedInOperatingActivities,USD,2025-02-21,10-K,2022-12-31,through_ocf,True,,,-0.006778,0.039844,1.357979,-0.0248,-0.004775
2025Q2,2025-05-07,ACDC,0001881487,ProFrac Holding Corp.,$500M-$1B,,581500000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-05-07,10-Q,2024-03-31,1800000,NetIncomeLoss,USD,2025-05-07,10-Q,2024-03-31,2988100000,Assets,USD,2025-05-07,10-Q,2024-12-31,-22800000,NetCashProvidedByUsedInFinancingActivities,USD,2025-05-07,10-Q,2024-03-31,-53300000,NetCashProvidedByUsedInInvestingActivities,USD,2025-05-07,10-Q,2024-03-31,79100000,NetCashProvidedByUsedInOperatingActivities,USD,2025-05-07,10-Q,2024-03-31,through_ocf,True,,,0.003095,0.136028,5.138607,-0.039209,-0.09166
2025Q2,2025-04-29,ACGL,947484,Arch Capital Group Ltd.,$2B-$10B,,9613000000,Revenues,USD,2025-02-27,10-K,2022-12-31,1476000000,NetIncomeLoss,USD,2025-02-27,10-K,2022-12-31,47990000000,Assets,USD,2025-02-27,10-K,2022-12-31,-706000000,NetCashProvidedByUsedInFinancingActivities,USD,2025-02-27,10-K,2022-12-31,-3101000000,NetCashProvidedByUsedInInvestingActivities,USD,2025-02-27,10-K,2022-12-31,3816000000,NetCashProvidedByUsedInOperatingActivities,USD,2025-02-27,10-K,2022-12-31,through_ocf,True,,,0.153542,0.396962,4.992198,-0.073442,-0.322584
