batch,status,tickers_requested,rows,tickers_returned,output_path,tickers
1,fetched,100,11622,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0001.parquet,A;AAL;AAME;AAMI;AAOI;AAON;AAP;AAT;ABAT;ABCL;ABEO;ABG;ABM;ABSI;ABTC;ABUS;ABVC;ABX;ACA;ACAD;ACCO;ACDC;ACEL;ACFN;ACGL;ACGLN;ACGLO;ACH;ACHC;ACHV;ACIC;ACIW;ACLS;ACLX;ACMR;ACNT;ACON;ACONW;ACR;ACRE;ACRS;ACT;ACTG;ACU;ACVA;ADCT;ADEA;ADM;ADMA;ADNT;ADPT;ADTN;ADTX;ADUS;ADV;AEE;AEHR;AEI;AEIS;AEMD;AENT;AENTW;AEO;AERT;AERTW;AES;AESI;AEVA;AEVAW;AEYE;AFCG;AFL;AGAE;AGEN;AGIO;AGL;AGPU;AGX;AGYS;AHCO;AHR;AHRT;AI;AIFF;AIHS;AIMD;AIN;AIOT;AIP;AIR;AIRE;AIRG;AIRS;AIRT;AIRTP;AISP;AISPW;AIXC;AIZ;AJG
2,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0002.parquet,AKAM;AKBA;AKR;ALAB;ALB;ALBT;ALCO;ALEC;ALEX;ALG;ALGM;ALGN;ALGS;ALGT;ALHC;ALIT;ALKS;ALKT;ALL;ALLE;ALLO;ALMU;ALNT;ALNY;ALOT;ALOY;ALRM;ALT;ALTG;ALTI;ALTO;ALTS;ALX;ALXO;AMBA;AMC;AMCR;AMCX;AME;AMIX;AMKR;AMLX;AMN;AMP;AMPG;AMPGR;AMPGZ;AMPH;AMPL;AMPX;AMR;AMRC;AMRN;AMRX;AMSC;AMSF;AMST;AMTX;AMWD;ANAB;ANDE;ANET;ANF;ANGI;ANGO;ANIK;ANIP;ANIX;ANY;AON;AORT;AOS;AOSL;AOUT;APAM;APD;APEI;APH;APLD;APLE;APLS;APO;APOG;APPF;APPN;APPS;APTV;APVO;APYX;AQB;AQMS;AQST;ARAY;ARCB;ARCT;ARDX;AREB;AREBW;AREC;AREN
3,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0003.parquet,ARES;ARHS;ARI;ARKO;ARKR;ARL;ARLO;ARLP;AROC;ARQ;ARQT;ARR;ARRY;ARTNA;ARTW;ARVN;ARWR;ASAN;ASB;ASGN;ASIX;ASLE;ASMB;ASNS;ASO;ASPI;ASPN;ASPS;ASPSW;ASPSZ;ASRT;ASRV;ASST;ASTC;ASTE;ASTH;ASTI;ASTS;ASUR;ASYS;ATAI;ATEC;ATEN;ATER;ATEX;ATKR;ATLC;ATLCL;ATLCP;ATLCZ;ATLN;ATLX;ATMU;ATNI;ATO;ATOM;ATOS;ATPC;ATRC;ATRO;ATXG;ATYR;AUID;AUPH;AUR;AUROW;AUUD;AVA;AVAH;AVAV;AVB;AVD;AVIR;AVNS;AVNT;AVNW;AVO;AVPT;AVT;AVTX;AVX;AVY;AWK;AWR;AWRE;AX;AXGN;AXSM;AXTI;AYTU;AZO;AZTA;AZZ;BAER;BAERW;BALL;BALY;BANC;BAND;BARK
4,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0004.parquet,BATL;BATRA;BATRK;BAX;BBAI;BBBY;BBCP;BBGI;BBIO;BBLG;BBLGW;BBSI;BBT;BBW;BBY;BCAB;BCC;BCDA;BCG;BCHT;BCO;BCPC;BCRX;BCYC;BDC;BDN;BDSX;BDTX;BDX;BE;BEAM;BEEM;BEEP;BELFA;BELFB;BEN;BENF;BENFW;BETR;BETRW;BF-B;BFH;BFLY;BFRG;BFRGW;BFRI;BFRIW;BFS;BG;BGC;BGLC;BGMS;BGMSP;BGS;BH;BHB;BHE;BHF;BHFAL;BHFAM;BHFAN;BHFAO;BHFAP;BHR;BIAF;BIAFW;BIVI;BJDX;BJRI;BKD;BKE;BKH;BKKT;BKR;BKSY;BKTI;BKYI;BL;BLBD;BLDR;BLFS;BLIN;BLKB;BLMN;BLND;BLNE;BLNK;BLZE;BMBL;BMEA;BMI;BMRA;BMRN;BNAI;BNAIW;BNBX;BNC;BNCWW;BNED;BNGO
5,fetched,100,13358,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0005.parquet,BNKK;BNL;BNTC;BNZI;BNZIW;BOC;BODI;BOF;BOLT;BOOM;BOOT;BOX;BOXL;BPOP;BPOPM;BR;BRBS;BRCC;BRFH;BRID;BRKR;BRKRP;BRLS;BRLSW;BRLT;BRNS;BRO;BRSP;BRT;BRTX;BRZE;BSET;BSX;BSY;BTAI;BTBD;BTBDW;BTCS;BTCT;BTM;BTMD;BTMWW;BTOC;BTSG;BTSGU;BTU;BV;BVS;BWEN;BWFG;BWIN;BWMN;BWXT;BX;BXC;BXMT;BXP;BYFC;BYND;BYRN;BZFD;BZFDW;BZH;CABO;CAC;CACC;CADL;CAG;CAH;CAKE;CAL;CALM;CALX;CALY;CAPR;CAPS;CAR;CARE;CARG;CARR;CARS;CART;CASH;CASS;CASY;CATX;CB;CBAT;CBFV;CBIO;CBL;CBOE;CBRE;CBRL;CBSH;CBT;CBU;CBUS;CBZ;CC
6,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0006.parquet,CCC;CCCC;CCI;CCL;CCLD;CCLDO;CCOI;CCRN;CCS;CCSI;CDE;CDIO;CDIOW;CDLX;CDNA;CDP;CDRE;CDW;CDXS;CDZI;CDZIP;CECO;CELH;CELU;CELZ;CENN;CENT;CENTA;CENX;CERS;CERT;CETX;CETY;CEVA;CF;CFBK;CFFI;CFFN;CFG;CFLT;CG;CGABL;CGEM;CGNX;CHCI;CHCO;CHCT;CHD;CHDN;CHEF;CHR;CHRD;CHRS;CHRW;CHSCL;CHSCM;CHSCN;CHSCO;CHSCP;CI;CIA;CIEN;CIFR;CIIT;CINF;CISO;CITR;CIVB;CIX;CLAR;CLB;CLBK;CLDT;CLDX;CLFD;CLIR;CLMB;CLNE;CLNN;CLOV;CLPR;CLPT;CLRO;CLSK;CLSKW;CLW;CLX;CMBM;CMC;CMCO;CMCT;CME;CMG;CMI;CMP;CMPR;CMRC;CMS;CMT;CMTG
7,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0007.parquet,CMTL;CNC;CNDT;CNET;CNK;CNMD;CNNE;CNO;CNP;CNR;CNS;CNTA;CNTY;CNVS;CNX;CNXC;CNXN;COCH;COCO;COCP;CODA;CODI;COEP;COEPW;COGT;COHR;COHU;COKE;COLB;COLL;COLM;COMP;COO;COOK;COR;CORT;CORZ;CORZW;CORZZ;COSM;COUR;COYA;CPAY;CPB;CPF;CPHC;CPIX;CPK;CPRI;CPRX;CPS;CPSH;CPSS;CPT;CRAI;CRBP;CRBU;CRC;CRCT;CRDF;CRDO;CREG;CREX;CRGY;CRH;CRI;CRIS;CRK;CRL;CRMD;CRMT;CRNC;CRNX;CRON;CROX;CRSP;CRSR;CRTO;CRUS;CRVL;CRVO;CRWS;CSBR;CSGS;CSPI;CSR;CSTL;CSV;CSW;CSWC;CSX;CTEV;CTGO;CTKB;CTLP;CTMX;CTNT;CTO;CTOS;CTRA
8,fetched,100,13588,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0008.parquet,CTRE;CTRI;CTRN;CTS;CTSO;CTVA;CTXR;CUBI;CUE;CULP;CURI;CURV;CVCO;CVGI;CVGW;CVI;CVLG;CVLT;CVNA;CVRX;CVSA;CVV;CWAN;CWCO;CWD;CWH;CWK;CWST;CWT;CXDO;CXM;CXW;CYCN;CYH;CYN;CYPH;CYRX;CYTK;CZFS;CZR;D;DAIO;DAKT;DAL;DAN;DARE;DAVE;DAVEW;DBD;DBGI;DBI;DBRG;DBVT;DBX;DCGO;DCH;DCO;DCOM;DCOY;DCTH;DD;DDD;DEA;DECK;DEI;DELL;DERM;DFDV;DFDVW;DFH;DFIN;DFLI;DFLIW;DG;DGICA;DGICB;DGII;DGX;DH;DHC;DHCNI;DHCNL;DHI;DHIL;DIBS;DIN;DIOD;DJCO;DJT;DJTWW;DK;DLHC;DLPN;DLR;DLTH;DLTR;DLX;DMRC;DNA;DNLI
9,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0009.parquet,DNOW;DNTH;DNUT;DOC;DOCN;DOCU;DOMH;DOMO;DORM;DOUG;DOV;DPZ;DRCT;DRH;DRI;DRIO;DRS;DRVN;DSGN;DSGR;DSP;DTCX;DTE;DTI;DTIL;DTSS;DTST;DTSTW;DUOL;DUOT;DVA;DVLT;DVN;DWSN;DXLG;DXPE;DXR;DY;DYAI;EAT;EB;EBAY;EBC;EBF;EBS;ECL;ECOR;ECPG;ECVT;ED;EDBL;EDBLW;EDIT;EDSA;EDUC;EE;EEFT;EEX;EFOI;EFSI;EFX;EG;EGAN;EGHT;EGY;EHAB;EHTH;EIG;EIX;EKSO;EL;ELA;ELAB;ELDN;ELMD;ELSE;ELTX;ELV;EMBC;EME;EML;EMPD;ENOV;ENPH;ENR;ENS;ENSC;ENSG;ENTA;ENTG;ENTX;ENVA;ENVB;ENVX;EOG;EOLS;EOSE;EP;EPAC;EPAM
10,fetched,100,13588,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0010.parquet,EPC;EPM;EPRT;EPSN;EQ;EQIX;EQR;EQT;ERIE;ERII;ERNA;ERNAW;ES;ESCA;ESE;ESNT;ESOA;ESPR;ESRT;ESS;ESTA;ETD;ETN;ETON;ETR;EUDA;EUDAW;EVC;EVCM;EVER;EVGO;EVGOW;EVH;EVI;EVLV;EVLVW;EVRG;EVTC;EVTV;EW;EWBC;EXAS;EXE;EXEL;EXFY;EXLS;EXPD;EXPE;EXPI;EXPO;EXR;EXTR;EYE;EYPT;EZPW;EZRA;FA;FARM;FATE;FBIO;FBIOP;FBNC;FBP;FBRT;FBRX;FBYD;FBYDW;FC;FCEL;FCFS;FCPT;FCUV;FCX;FDMT;FDP;FDS;FE;FEED;FEIM;FELE;FEMY;FENC;FET;FF;FFAI;FFAIW;FFIV;FFWM;FG;FGI;FGIWW;FGNX;FGNXP;FHB;FHTX;FICO;FIEE;FIGS;FIP;FIS
